"Model","AICc","AIC","R2","params","delta_AICc","weight"
"semi_gam",2159.41167967531,2158.20749704591,0.327003643959787,17.8200523890639,0,0.999999993759121
"full_linear",2197.19596933675,2196.3365696527,0.298431100712042,15,37.7842896614329,6.24087876374352e-09
"core_climate_phylo",2257.24390551279,2256.83011240934,0.21806570439526,10,97.8322258374728,5.70167003709531e-22
"core_phylo",2278.34355600154,2278.16910117288,0.181962955837478,6,118.931876326225,1.49372686467134e-26
"core_climate",2298.32974542169,2297.98545747177,0.164388698496476,9,138.918065746378,6.82849981733202e-31
"core",2321.77981412497,2321.64917648889,0.122675470923469,5,162.36813444966,5.52341383067306e-36
