wfo_taxon_id,wfo_accepted_name,Genus,Family,Leaf area (mm2),Nmass (mg/g),LMA (g/m2),Plant height (m),Diaspore mass (mg),LDMC,SSD used (mg/mm3),logLA,logLDMC,logSLA,logSM,logH,logNmass,species_key
wfo-0000538624,Anthriscus caucalis,Anthriscus,Apiaceae,3373.49,,32.51497,0.36431986,1.1641,0.18444797,0.0,8.123703095782666,-1.6903878606926153,3.426054680312532,0.1519482562720581,-1.0097230609443395,,anthriscus caucalis
wfo-1000040136,Heliodendron basalticum,Heliodendron,Fabaceae,,,,10.0,63.23,,0.0,,,,4.146778872070522,2.302585092994046,,heliodendron basalticum
wfo-0000555884,Atriplex canescens,Atriplex,Amaranthaceae,,25.06475407,251.8891688,1.1,6.8082,,0.0,4.0943445622221,,1.378766094563099,1.9181277680428617,0.0953101798043249,3.221462638977725,atriplex canescens
wfo-0000556344,Atriplex nummularia,Atriplex,Amaranthaceae,,,166.2754558,2.310225424,5.3727,0.325,0.0,5.140024787553443,-1.1239300966523995,1.794109493573491,1.6813305754586665,0.83734510591967,,atriplex nummularia
wfo-0000302302,Austromyrtus dulcis,Austromyrtus,Myrtaceae,,,,1.0,2.7155,,0.0,,,,0.9989760984927628,0.0,,austromyrtus dulcis
wfo-0000188624,Austrosteenisia blackii,Austrosteenisia,Fabaceae,,,,,18.43,,0.0,,,,2.913979771681732,,,austrosteenisia blackii
wfo-0000559716,Banksia marginata,Banksia,Proteaceae,273.57,8.209863439,186.3772054,5.692099788,8.1662,0.475,0.0,5.611557530613684,-0.7444404749474959,1.6799826728351193,2.1000036843927137,1.7390792113458955,2.105336289830262,banksia marginata
wfo-0000559775,Banksia prionotes,Banksia,Proteaceae,,,,10.0,22.8177,0.54,0.0,,-0.616186139423817,,3.1275365505726285,2.302585092994046,,banksia prionotes
wfo-0000559791,Banksia robur,Banksia,Proteaceae,,6.111464636,320.5128205,2.0,21.7658,,0.0,,,1.1378330018613911,3.0803399305888166,0.6931471805599453,1.810166455750305,banksia robur
wfo-0000188353,Lysiphyllum hookeri,Lysiphyllum,Fabaceae,,,,10.0,366.0735,0.4371,0.0,6.51471269087253,-0.8275932771128682,,5.902834132911926,2.302585092994046,,lysiphyllum hookeri
wfo-0000906815,Urochloa eminii,Urochloa,Poaceae,981.62,13.2,,0.554549188,3.3362,,0.0,6.889204268087262,,,1.204832434737818,-0.5895997691827516,2.580216829592325,urochloa eminii
wfo-0000571745,Brassica tournefortii,Brassica,Brassicaceae,,,93.67855161,0.438178046,1.3944,,0.0,5.730002375632231,,2.367886020849773,0.3324642152236742,-0.8251299534866098,,brassica tournefortii
wfo-0000854792,Briza minor,Briza,Poaceae,97.85,,54.9119662,0.177010773,0.2523,0.207746479,0.0,4.583435693842085,-1.571436793645317,2.902023990647133,-1.3771364233351249,-1.731544683853691,,briza minor
wfo-0000859711,Chloris truncata,Chloris,Poaceae,,,86.58008658,0.45,0.126,0.30859,0.0,5.7899601708972535,-1.17574174398511,2.4466854369688025,-2.071473372030659,-0.7985076962177716,,chloris truncata
wfo-0000639671,Delphinium ajacis,Delphinium,Ranunculaceae,,,,0.508938168,1.7087500000000002,,0.0,,,,0.5357621090560224,-0.6754287472172718,,delphinium ajacis
wfo-0000631130,Cyathodes straminea,Cyathodes,Ericaceae,,,,1.1,25.99,,0.0,,,,3.2577118486533987,0.0953101798043249,,cyathodes straminea
wfo-0000664242,Elaeocarpus eumundi,Elaeocarpus,Elaeocarpaceae,3019.0,,,26.08419438,36.01,0.4890606920816894,0.0,8.012680929706839,-0.715268682522374,,3.583796677660784,3.2613295515810914,,elaeocarpus eumundi
wfo-0000954589,Eucalyptus calycogona,Eucalyptus,Myrtaceae,,,,6.0,0.9771,,0.0,,,,-0.0231662780318395,1.791759469228055,,eucalyptus calycogona
wfo-0000954973,Eucalyptus gamophylla,Eucalyptus,Myrtaceae,,12.34,,7.0,7.177,0.5468492907,0.0,,-0.6035820342667522,,1.9708814684479348,1.9459101490553128,2.5128460184772416,eucalyptus gamophylla
wfo-0000955013,Eucalyptus gongylocarpa,Eucalyptus,Myrtaceae,,,,16.0,14.6588,,0.0,,,,2.6850408377193573,2.772588722239781,,eucalyptus gongylocarpa
wfo-0000955469,Eucalyptus ochrophloia,Eucalyptus,Myrtaceae,,,,20.0,10.819,,0.0,,,,2.3813038477054365,2.995732273553991,,eucalyptus ochrophloia
wfo-0000816223,Ligustrum quihoui,Ligustrum,Oleaceae,,,50.34993203,2.0,10.97,,0.0,,,2.9887580097688247,2.395164274287139,0.6931471805599453,,ligustrum quihoui
