trait,rmse_mean,rmse_median,rmse_sd,folds,nrounds,eta
leaf_area_mm2,0.7265867247751288,0.7367360077490875,0.23097825854862947,3,1000,0.1
seed_mass_mg,1.757694938713479,1.8221677029828245,0.1618022754506743,3,1000,0.1
