cluster,n_features,total_Gain,mean_Gain
Environmental,136,0.548499142070475,0.00403308192698879
EIVE Ecological,5,0.164804646896582,0.0329609293793163
Phylogenetic,4,0.16396140152422,0.0409903503810549
TRY Categorical,24,0.122941213284118,0.00512255055350492
