"Model","AICc","AIC","R2","n_params","delta_AICc","weight"
"stage1_full_linear_phylo",2199.27542211359,2197.51184383882,0.312137636819949,24,0,0.999972647665986
"interactions_gam",2220.39257682144,2218.91335242779,0.264427102289443,19.0181540792351,21.1171547078593,2.59690605691709e-05
"stage1_full_linear",2226.25751948152,2224.6434843938,0.280607811427819,23,26.9820973679389,1.38324822735334e-06
"stage1_gam_phylo",2248.26270231505,2247.24890645009,0.242179038563,15.8563288162411,48.987280201462,2.30428070572707e-11
"traits_climate_phylo",2252.98409631835,2252.22937933722,0.248216795823364,16,53.7086742047654,2.17419104242311e-12
"traits_phylo",2276.45564916202,2276.04314916202,0.210624508644916,12,77.1802270484327,1.73986183338726e-17
"stage1_gam",2281.93692528416,2281.01299088059,0.200886676589393,15.0998547411925,82.6615031705719,1.12271822989515e-18
"traits_climate",2289.44020212889,2288.78086146955,0.202424875559723,15,90.1647800153041,2.63605768390412e-20
"traits_core",2314.5498308025,2314.20661707395,0.160469735516627,11,115.274408688918,9.29968678609842e-26
