submodel,AIC,BIC,AIC_sum,BIC_sum
y|parents,2818.7349954717415,2841.0657190929296,6497.595407476614,6551.189144167466
LES|parents,2096.299298731426,2114.1638776283767,6497.595407476614,6551.189144167466
SIZE|parents,1582.561113273447,1595.9595474461598,6497.595407476614,6551.189144167466
