trait,rmse_mean,rmse_median,rmse_sd,folds,nrounds,eta
leaf_area_mm2,0.5348598889929257,0.5068361291588466,0.10962816949530389,3,3000,0.025
nmass_mg_g,0.015361126065580906,0.011585012158983204,0.008802151991663629,3,3000,0.025
ldmc_frac,0.1634918272027919,0.060052015177636954,0.19256468861255602,3,3000,0.025
lma_g_m2,0.028573340093762747,0.026283133352404384,0.0049418981761453545,3,3000,0.025
plant_height_m,0.20329364480946757,0.1867335835062875,0.037676984079359266,3,3000,0.025
seed_mass_mg,2.508683322225544,2.512108746174114,0.2719130262059294,3,3000,0.025
