trait,rmse_mean,rmse_median,rmse_sd,folds,nrounds,eta
leaf_area_mm2,0.5535017454518514,0.5709214026427348,0.05558439347461194,3,1000,0.1
nmass_mg_g,0.017258774687782034,0.01384362865091569,0.00778072256382853,3,1000,0.1
ldmc_frac,0.18367821638189347,0.07726910529614074,0.196262182510507,3,1000,0.1
lma_g_m2,0.031741503246191044,0.03245131831192657,0.0012765854990809075,3,1000,0.1
plant_height_m,0.21205062928086882,0.196650032600469,0.029749456561288978,3,1000,0.1
seed_mass_mg,2.489534802783746,2.474939710842415,0.23349639910911432,3,1000,0.1
