trait,rmse_mean,rmse_median,rmse_sd,folds,nrounds,eta
leaf_area_mm2,0.6276197,0.7241585,0.2503972,3,1000,0.1
seed_mass_mg,2.0369265,2.2969163,0.4606661,3,1000,0.1
