term,Estimate,Std.Error
(Intercept),4.593076328975217,0.046560145581351686
Leaf area (mm2),0.45152895190929954,0.05493131543268978
Nmass (mg/g),0.34309566045981477,0.053185947119690685
LMA (g/m2),-0.32846585959349706,0.05794267549972369
Plant height (m),0.8362704344801271,0.07116152392781722
Diaspore mass (mg),-0.037620549089458534,0.05797824343164344
SSD used (mg/mm3),-0.4955465922019861,0.0668499962281582
