term,Estimate,Std.Error
(Intercept),6.818742781719949,0.0429664536455845
Leaf area (mm2),-0.12477343512440495,0.05092165788663316
Nmass (mg/g),0.020928392467566358,0.04928478020670375
LMA (g/m2),0.45107410343927495,0.0547067769572068
Plant height (m),-0.5648784927486944,0.06698686799674287
Diaspore mass (mg),-0.06123968652377641,0.05395944959726988
SSD used (mg/mm3),0.07833699722086293,0.061760758934493246
