term,VIF
Leaf area (mm2),1.403327107153395
Nmass (mg/g),1.309765059849031
LMA (g/m2),1.6186093879505872
Plant height (m),2.4366991523530697
Diaspore mass (mg),1.5837034445681086
SSD used (mg/mm3),2.067460350171214
