term,VIF
Leaf area (mm2),1.4078412532677271
Nmass (mg/g),1.3131078475208968
LMA (g/m2),1.6196469916571261
Plant height (m),2.4334703052232527
Diaspore mass (mg),1.576568994109335
SSD used (mg/mm3),2.0646754187826897
