term,VIF
Leaf area (mm2),1.3905824312488666
Nmass (mg/g),1.3036185592413636
LMA (g/m2),1.5472262664829481
Plant height (m),2.333711787361663
Diaspore mass (mg),1.5491263695947395
SSD used (mg/mm3),2.059489177387748
