term,Estimate,Std.Error
(Intercept),4.518949874942702,0.04299360666814429
Leaf area (mm2),0.21012960437115408,0.05103694994828657
Nmass (mg/g),-0.02428040680208724,0.049289914777910795
LMA (g/m2),-0.09941512284310863,0.05474167137833784
Plant height (m),0.5966160251893879,0.06709974881204489
Diaspore mass (mg),-0.31620722059713596,0.05400877904179922
SSD used (mg/mm3),-0.4480203744573825,0.061806444722344436
