term,VIF
Leaf area (mm2),1.4032609949519121
Nmass (mg/g),1.3144952839527613
LMA (g/m2),1.6196293656118201
Plant height (m),2.428358092301139
Diaspore mass (mg),1.5756813922330548
SSD used (mg/mm3),2.064232599256999
