term,Estimate,Std.Error
(Intercept),6.095801296331163,0.04694156620791648
Leaf area (mm2),0.19833700482901961,0.05541673410074944
Nmass (mg/g),0.0772944768078259,0.05369810216542164
LMA (g/m2),0.01903257562685207,0.058728767650793386
Plant height (m),-0.1487455067238317,0.0717785046841983
Diaspore mass (mg),0.22920856635374523,0.05850067502801421
SSD used (mg/mm3),-0.10924079683060538,0.06744487502867855
