term,VIF
Leaf area (mm2),1.3923630780891707
Nmass (mg/g),1.3073399017050584
LMA (g/m2),1.5637683485969904
Plant height (m),2.335928021004941
Diaspore mass (mg),1.551645111961457
SSD used (mg/mm3),2.0623793496636487
