term,Estimate,Std.Error
(Intercept),4.366003964856823,0.03821785152184369
Leaf area (mm2),-0.050577647833845496,0.04529490293747331
Nmass (mg/g),-0.015573698215431446,0.04375891816574311
LMA (g/m2),0.048827573506424866,0.04864530197417605
Plant height (m),0.2602125919322026,0.05968577430046136
Diaspore mass (mg),0.2501247461464516,0.048117915690007916
SSD used (mg/mm3),-0.03354593533700868,0.05497794100249423
