fold,n_test,r2,rmse,mae,elapsed_sec
loso::abies_alba,1,NA,1.0739888417852086,1.0739888417852086,0.18610548973083496
loso::abies_grandis,1,NA,1.3553886044478798,1.3553886044478798,0.1701047420501709
loso::abies_lasiocarpa,1,NA,1.7628108076326958,1.7628108076326958,0.16763949394226074
loso::abutilon_theophrasti,1,NA,0.23515238506252345,0.23515238506252345,0.30553293228149414
loso::acacia_mearnsii,1,NA,0.00743309343917975,0.00743309343917975,0.16866087913513184
loso::acer_campestre,1,NA,0.6311570895024481,0.6311570895024481,0.16928958892822266
loso::acer_monspessulanum,1,NA,0.555556241542595,0.555556241542595,0.22005319595336914
loso::acer_rubrum,1,NA,0.5466977535514213,0.5466977535514213,0.17853951454162598
loso::acer_saccharinum,1,NA,0.06975719237380762,0.06975719237380762,0.17026352882385254
loso::achillea_leptophylla,1,NA,0.006200327586771692,0.006200327586771692,0.171555757522583
loso::achillea_millefolium,1,NA,1.4896380884383706,1.4896380884383706,0.16883325576782227
loso::actaea_spicata,1,NA,0.6341157106453705,0.6341157106453705,0.17851996421813965
loso::aegilops_geniculata,1,NA,0.6105883287725078,0.6105883287725078,0.17009854316711426
loso::aegopodium_podagraria,1,NA,0.07299722271598696,0.07299722271598696,0.16844868659973145
loso::agrimonia_eupatoria,1,NA,0.49007616457276093,0.49007616457276093,0.1676797866821289
loso::agropyron_cristatum,1,NA,NA,NA,0.17554092407226562
loso::agropyron_desertorum,1,NA,1.7161646276618683,1.7161646276618683,0.17130684852600098
loso::agrostis_canina,1,NA,0.20034020658338392,0.20034020658338392,0.17136192321777344
loso::agrostis_hyemalis,1,NA,NA,NA,0.16759729385375977
loso::agrostis_scabra,1,NA,0.41829238539995384,0.41829238539995384,0.17769479751586914
loso::agrostis_stolonifera,1,NA,1.1948040008576264,1.1948040008576264,0.17039108276367188
loso::agrostis_vinealis,1,NA,1.250503005815303,1.250503005815303,0.1690070629119873
loso::aira_caryophyllea,1,NA,1.5605470247565822,1.5605470247565822,0.1701505184173584
loso::alchemilla_glaucescens,1,NA,1.4399826029911909,1.4399826029911909,0.17741847038269043
loso::alchemilla_monticola,1,NA,0.4462969715552658,0.4462969715552658,0.1710500717163086
loso::alchemilla_xanthochlora,1,NA,0.19757664943645992,0.19757664943645992,0.17003583908081055
loso::alliaria_petiolata,1,NA,0.14524961267630765,0.14524961267630765,0.16788697242736816
loso::allium_senescens,1,NA,0.6121373135987636,0.6121373135987636,0.17708659172058105
loso::allium_sphaerocephalon,1,NA,0.8457151382725607,0.8457151382725607,0.1701793670654297
loso::alnus_cordata,1,NA,0.38935225782460403,0.38935225782460403,0.16998553276062012
loso::alnus_glutinosa,1,NA,0.22025104112664984,0.22025104112664984,0.16919779777526855
loso::alnus_incana,1,NA,0.885246001366502,0.885246001366502,0.17783236503601074
loso::alternanthera_pungens,1,NA,0.2843876487679049,0.2843876487679049,0.1698620319366455
loso::amaranthus_deflexus,1,NA,0.23368586712170014,0.23368586712170014,0.16956377029418945
loso::amaranthus_hybridus,1,NA,NA,NA,0.16702628135681152
loso::ambrosia_artemisiifolia,1,NA,0.09060757309660339,0.09060757309660339,0.20797085762023926
loso::ambrosia_trifida,1,NA,0.17123044925122244,0.17123044925122244,0.20294547080993652
loso::anaphalis_margaritacea,1,NA,0.17130713553529997,0.17130713553529997,0.19769906997680664
loso::andromeda_polifolia,1,NA,3.0475054597277733,3.0475054597277733,0.16998291015625
loso::androsace_septentrionalis,1,NA,0.2851028595777567,0.2851028595777567,0.19754314422607422
loso::angelica_archangelica,1,NA,0.07023128768292874,0.07023128768292874,0.17517566680908203
loso::angelica_sylvestris,1,NA,0.9465486090590538,0.9465486090590538,0.1751537322998047
loso::antennaria_dioica,1,NA,1.1984220440631312,1.1984220440631312,0.17153120040893555
loso::anthemis_arvensis,1,NA,2.5912658958263295,2.5912658958263295,0.1809401512145996
loso::anthemis_cotula,1,NA,0.45217413034930587,0.45217413034930587,0.17461204528808594
loso::anthemis_cretica,1,NA,0.4806629101751252,0.4806629101751252,0.19432950019836426
loso::anthericum_ramosum,1,NA,0.5086027199012433,0.5086027199012433,0.2095198631286621
loso::anthyllis_vulneraria,1,NA,0.7020101921919935,0.7020101921919935,0.2264726161956787
loso::aphyllanthes_monspeliensis,1,NA,1.0641569609750787,1.0641569609750787,0.22037076950073242
loso::aquilegia_atrata,1,NA,2.289208850546789,2.289208850546789,0.22757792472839355
loso::arabidopsis_thaliana,1,NA,1.777614060110177,1.777614060110177,0.21539616584777832
loso::arabis_alpina,1,NA,3.4924047915993244,3.4924047915993244,0.2246100902557373
loso::arctium_lappa,1,NA,0.5482119595959452,0.5482119595959452,0.16920161247253418
loso::arenaria_aggregata,1,NA,0.748406803868467,0.748406803868467,0.17012929916381836
loso::arenaria_serpyllifolia,1,NA,0.12274186198333137,0.12274186198333137,0.17563271522521973
loso::aristida_adscensionis,1,NA,1.634423762152494,1.634423762152494,0.1714768409729004
loso::armeria_maritima,1,NA,1.4723136443867517,1.4723136443867517,0.16811704635620117
loso::arnica_montana,1,NA,2.374357219887677,2.374357219887677,0.16845273971557617
loso::arrhenatherum_elatius,1,NA,0.15937861921708674,0.15937861921708674,0.24964523315429688
loso::artemisia_dracunculus,1,NA,0.3671533895182062,0.3671533895182062,0.1702115535736084
loso::arum_maculatum,1,NA,0.7573543801407085,0.7573543801407085,0.16812968254089355
loso::aruncus_dioicus,1,NA,0.427606329956844,0.427606329956844,0.1677398681640625
loso::asclepias_syriaca,1,NA,0.02148590202989986,0.02148590202989986,0.17952179908752441
loso::aster_alpinus,1,NA,0.5802446933964251,0.5802446933964251,0.16837453842163086
loso::aster_amellus,1,NA,1.5789592698375863,1.5789592698375863,0.16917085647583008
loso::astragalus_alpinus,1,NA,1.0840497348073068,1.0840497348073068,0.16323447227478027
loso::avena_barbata,1,NA,0.5851077998809684,0.5851077998809684,0.17691993713378906
loso::avena_fatua,1,NA,0.1528239042339674,0.1528239042339674,0.1707463264465332
loso::bartsia_alpina,1,NA,1.7747191307640877,1.7747191307640877,0.168501615524292
loso::bassia_prostrata,1,NA,0.3368682594275594,0.3368682594275594,0.16799139976501465
loso::bassia_scoparia,1,NA,0.31357285501510557,0.31357285501510557,0.177809476852417
loso::berberis_vulgaris,1,NA,1.301868328339638,1.301868328339638,0.1689918041229248
loso::berteroa_incana,1,NA,0.3557201821501641,0.3557201821501641,0.1686692237854004
loso::berula_erecta,1,NA,0.34844155319904324,0.34844155319904324,0.16842055320739746
loso::betula_pubescens,1,NA,2.4818642184023783,2.4818642184023783,0.1776437759399414
