TRY 30 AccSpecies ID,Species name standardized against TPL,Taxonomic level,Status according to TPL,Genus,Family,Phylogenetic Group within angiosperms,Phylogenetic Group General,Adaptation to terrestrial or aquatic habitats,Woodiness,Growth Form,Succulence,Nutrition type (parasitism),Nutrition type (carnivory),Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
2566,Allium schoenoprasum,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,556,12,NA,NA,112.117176,16,0.311765065,26,0.8764,33,NA,NA,0.164924225,10,0.149142712,0.149142712,5
2568,Allium scorodoprasum,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,670.5,6,NA,NA,215.0537634,5,0.581821769,29,1.3778,16,NA,NA,0.2,5,0.18029,0.18029,5
2569,Allium senescens,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,359.5,9,27.29,9,76.2195122,9,0.153474015,10,1.68,3,NA,NA,0.14,9,0.12701,0.12701,6
2572,Allium sphaerocephalon,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1940.63,17,27.03077821,3,175.4385965,15,0.322248118,19,1.451,55,NA,NA,0.13,15,0.11813,0.11813,6
2574,Allium stamineum,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,1.31,2,NA,NA,NA,NA,NA,NA,1
2576,Allium strictum,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,260,2,17.31,2,83.26394671,4,0.212132034,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2577,Allium suaveolens,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.248871065,12,1.7054,12,NA,NA,NA,NA,NA,NA,2
65414,Allium trifoliatum,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,1.41,2,NA,NA,NA,NA,NA,NA,1
2583,Allium triquetrum,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,2580.75,5,NA,NA,34.80989877,6,0.4,14,5.7463,2,NA,NA,NA,NA,NA,NA,4
2587,Allium ursinum,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,6408.8,23,36.93096453,7,27.59698797,27,0.305592472,25,5.2528,28,NA,NA,0.104586431,16,0.09556275,0.09556275,6
2589,Allium victorialis,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.426205899,12,5.1257,3,NA,NA,NA,NA,NA,NA,2
2590,Allium vineale,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1175.08,6,NA,NA,56.45797465,7,0.384963525,21,11.0038,10,NA,NA,0.164924225,4,0.149142712,0.149142712,5
65416,Allium zebdanense,species,accepted,Allium,Amaryllidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1
2736,Alnus alnobetula subsp. fruticosa,variety or subspecies,multiple synonyms,Alnus,Betulaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub/tree,NA,independent,NA,broadleaved,1916.47,12,25.3615172,5,49.00362798,16,3.581523317,57,0.4175,31,NA,NA,NA,NA,NA,NA,5
2705,Alnus cordata,species,accepted,Alnus,Betulaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,5482.87,10,27.09478271,3,44.12085775,10,18.8405092,13,3.5062,12,0.39147303,1,NA,NA,NA,0.39147303,6
2710,Alnus glutinosa,species,accepted,Alnus,Betulaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,3070.29,83,30.93823652,61,68.11272672,148,17.79813339,87,1.601,57,0.459373411,96,NA,NA,NA,0.459373411,6
2712,Alnus incana,species,accepted,Alnus,Betulaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub/tree,NA,independent,NA,broadleaved,2583.96,22,33.70232216,35,55.29773946,34,9.53491529,66,0.6649,38,0.468294779,4,NA,NA,NA,0.468294779,6
2826,Aloe vera,species,accepted,Aloe,Xanthorrhoeaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,succulent,NA,independent,NA,broadleaved,NA,NA,NA,NA,109.4091904,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2833,Alopecurus aequalis,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,341.75,6,NA,NA,40.74979625,5,0.206102321,13,0.2091,15,NA,NA,0.17,5,0.15365,0.15365,5
2840,Alopecurus arundinaceus,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.756765732,9,0.4828,13,NA,NA,NA,NA,NA,NA,2
2849,Alopecurus bulbosus,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,32,1,NA,NA,NA,NA,0.343736896,16,0.46,5,NA,NA,NA,NA,NA,NA,3
2834,Alopecurus creticus,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,1.05,5,NA,NA,NA,NA,NA,NA,1
2854,Alopecurus geniculatus,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,260.1,8,NA,NA,33.33859932,16,0.267533859,17,0.3073,20,NA,NA,0.201267725,7,0.18141574,0.18141574,5
2867,Alopecurus magellanicus,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,316,3,NA,NA,NA,NA,0.372474487,6,NA,NA,NA,NA,NA,NA,NA,NA,2
2869,Alopecurus myosuroides,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,354.73,3,NA,NA,38.44911064,6,0.386739003,21,1.7966,14,NA,NA,0.270755,2,0.24312044,0.24312044,5
2872,Alopecurus pratensis,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,1156.15,12,23.82351182,6,39.35483103,37,0.597360064,37,0.7868,32,0.4316,6,NA,NA,NA,0.4316,6
2873,Alopecurus rendlei,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.246621207,12,NA,NA,NA,NA,NA,NA,NA,NA,1
2876,Alopecurus textilis,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,160.1,1,NA,NA,99.95003747,2,0.1,1,1.73,10,NA,NA,NA,NA,NA,NA,4
2878,Alopecurus utriculatus,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,26.99894375,16,22.76274368,16,0.417779363,32,1.3082,20,NA,NA,0.2048655,16,0.184610564,0.184610564,5
2879,Alopecurus vaginatus,species,accepted,Alopecurus,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.33,4,NA,NA,NA,NA,NA,NA,1
2989,Alternanthera ficoidea,species,accepted,Alternanthera,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1260,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2993,Alternanthera philoxeroides,species,accepted,Alternanthera,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.06,1,NA,NA,NA,NA,NA,NA,NA,NA,1
2995,Alternanthera pungens,species,accepted,Alternanthera,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,314.16,3,38.96820338,3,38.87240437,6,0.11,2,0.33,2,NA,NA,0.209294814,3,0.205540482,0.205540482,6
3000,Althaea cannabina,species,accepted,Althaea,Malvaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.828348178,8,5.49,6,NA,NA,NA,NA,NA,NA,2
3003,Althaea officinalis,species,accepted,Althaea,Malvaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,4066.52,11,NA,NA,42.49313951,10,0.807832059,34,4.5875,20,NA,NA,0.2,10,0.20067,0.20067,5
3029,Alyssoides utriculata,species,accepted,Alyssoides,Brassicaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.343979063,8,NA,NA,NA,NA,NA,NA,NA,NA,1
3031,Alyssum alyssoides,species,accepted,Alyssum,Brassicaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,23.52,11,NA,NA,46.96726388,10,0.118558169,37,0.5291,37,NA,NA,0.198997487,10,0.200144683,0.200144683,5
3048,Alyssum hirsutum,species,accepted,Alyssum,Brassicaceae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,NA,NA,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,1
3054,Alyssum minutum,species,accepted,Alyssum,Brassicaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.54,11,NA,NA,NA,NA,NA,NA,1
3055,Alyssum montanum,species,accepted,Alyssum,Brassicaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,39,5,NA,NA,81.4995925,5,0.120547304,16,0.6,4,NA,NA,0.24,5,0.22163,0.22163,5
3067,Alyssum simplex,species,accepted,Alyssum,Brassicaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.135096004,10,0.74,6,NA,NA,NA,NA,NA,NA,2
3099,Amaranthus albus,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.286255846,16,0.3084,28,NA,NA,NA,NA,NA,NA,2
3103,Amaranthus blitoides,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,43.2,2,55.12679162,10,0.312031851,11,0.9439,24,NA,NA,NA,NA,NA,NA,4
3104,Amaranthus blitum,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.429172884,9,0.16,NA,NA,NA,NA,NA,NA,NA,2
3108,Amaranthus caudatus,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,4117.22,5,NA,NA,50.83884087,5,0.685016842,16,0.5816,24,NA,NA,0.17,5,0.18495,0.18495,5
3110,Amaranthus crispus,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.215443469,6,NA,NA,NA,NA,NA,NA,NA,NA,1
3111,Amaranthus cruentus,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.4,2,NA,NA,NA,NA,NA,NA,NA,NA,1
3112,Amaranthus deflexus,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,886.56,10,43.49264577,3,28.815,10,0.320265777,17,0.4228,10,NA,NA,0.120842,10,0.159191208,0.159191208,6
3119,Amaranthus graecizans,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.396641787,17,0.5937,21,NA,NA,NA,NA,NA,NA,2
3120,Amaranthus hybridus,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,2139.07,1,35.38,1,51.69109882,2,0.67103021,19,0.4796,22,NA,NA,0.197269,NA,0.199238956,0.199238956,6
3133,Amaranthus hybridus subsp. quitensis,variety or subspecies,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,NA,NA,broadleaved,2139.07,1,35.38,1,63.13131313,1,NA,NA,0.48,1,NA,NA,NA,NA,NA,NA,4
3126,Amaranthus palmeri,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,28.94,1,67.2,1,1,1,0.2948,15,NA,NA,NA,NA,NA,NA,4
3131,Amaranthus powellii,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.493242415,5,0.43,NA,NA,NA,NA,NA,NA,NA,2
3105,Amaranthus powellii subsp. bouchonii,variety or subspecies,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,NA,NA,broadleaved,1820.03,10,43.57503983,3,42.46041275,10,0.527970603,10,0.3999,6,NA,NA,0.196513959,10,0.198843314,0.198843314,6
3134,Amaranthus retroflexus,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,3379.06,21,32.54373277,7,59.98288243,34,0.464284504,52,0.3976,53,NA,NA,0.21734381,17,0.209758157,0.209758157,6
3137,Amaranthus spinosus,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,1.5,4,0.1944,5,NA,NA,NA,NA,NA,NA,2
3138,Amaranthus standleyanus,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.431345817,9,NA,NA,NA,NA,NA,NA,NA,NA,1
3141,Amaranthus tricolor,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,675,1,NA,NA,NA,NA,1.25,3,0.6,5,NA,NA,NA,NA,NA,NA,3
3142,Amaranthus tuberculatus,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,16.32,1,61.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
3143,Amaranthus viridis,species,accepted,Amaranthus,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.4,2,0.4183,10,NA,NA,NA,NA,NA,NA,2
3157,Ambrosia artemisiifolia,species,accepted,Ambrosia,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,650.16,31,25.5,8,39.86712755,40,0.694945832,66,3.9899,12,NA,NA,0.214486008,29,0.208260668,0.208260668,6
3168,Ambrosia psilostachya,species,accepted,Ambrosia,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,461.55,21,20.36165666,7,69.1759069,22,0.525378172,29,6.3926,12,0.278686743,6,NA,NA,NA,0.278686743,6
3169,Ambrosia tenuifolia,species,accepted,Ambrosia,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,451.94,3,28.06665677,3,89.96576363,5,0.342744454,2,5.3,2,NA,NA,0.22,2,0.21115,0.21115,6
3170,Ambrosia trifida,species,accepted,Ambrosia,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,5202.03,10,44.1,3,45.68009834,17,1.067642561,20,11.1259,17,NA,NA,0.18493242,10,0.192774588,0.192774588,6
3173,Amelanchier alnifolia,species,accepted,Amelanchier,Rosaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub/tree,NA,independent,NA,broadleaved,964.61,10,18.2,4,106.7620663,6,3.86283244,12,5.5447,25,NA,NA,NA,NA,NA,NA,5
3177,Amelanchier canadensis,species,accepted,Amelanchier,Rosaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub/tree,NA,NA,NA,broadleaved,675,NA,21,1,NA,NA,6.09,4,6.8013,10,0.66,2,NA,NA,NA,0.66,5
3184,Amelanchier lamarckii,species,accepted,Amelanchier,Rosaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub/tree,NA,independent,NA,broadleaved,1065,11,NA,NA,89.92805755,5,4.954368755,18,3.89,1,NA,NA,NA,NA,NA,NA,4
3186,Amelanchier ovalis,species,accepted,Amelanchier,Rosaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,423.78,22,23.72262243,3,88.68135067,22,2.081735379,40,NA,NA,NA,NA,NA,NA,NA,NA,4
3192,Amelanchier spicata,species,accepted,Amelanchier,Rosaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,814.25,4,20.82318419,NA,38.33934222,7,3.26644707,12,4,7,NA,NA,NA,NA,NA,NA,5
3204,Ammannia auriculata,species,accepted,Ammannia,Lythraceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.65,2,0.01,6,NA,NA,NA,NA,NA,NA,2
3205,Ammannia baccifera,species,accepted,Ammannia,Lythraceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.8,2,0.0141,10,NA,NA,NA,NA,NA,NA,2
3206,Ammannia coccinea,species,accepted,Ammannia,Lythraceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,20.75,1,46.895,1,0.48,1,0.1225,8,NA,NA,0.174225,NA,0.1871639,0.1871639,5
65522,Ammannia robusta,species,accepted,Ammannia,Lythraceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.02,6,NA,NA,NA,NA,NA,NA,1
3210,Ammi majus,species,accepted,Ammi,Apiaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,77.46,15,NA,NA,29.1705257,15,0.482680875,24,0.5487,21,NA,NA,0.136351312,15,0.167318088,0.167318087,5
3217,Ammoides pusilla,species,accepted,Ammoides,Apiaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.28,6,NA,NA,NA,NA,NA,NA,1
3239,Amorpha fruticosa,species,accepted,Amorpha,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,NA,NA,47.29432726,3,NA,NA,2.461809059,28,6.5994,30,NA,NA,NA,NA,NA,NA,3
3272,Ampelodesmos mauritanicus,species,accepted,Ampelodesmos,Poaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,207.469,NA,NA,NA,4,2,NA,NA,0.55252,NA,0.49332776,0.49332776,3
3324,Amsinckia lycopsoides,species,accepted,Amsinckia,Boraginaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,316,1,NA,NA,NA,NA,0.399374021,8,1.9283,8,NA,NA,NA,NA,NA,NA,3
3325,Amsinckia menziesii,species,accepted,Amsinckia,Boraginaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1920.83,4,NA,NA,42.611487,4,0.6,1,1.6174,31,NA,NA,0.124096736,4,0.16089669,0.16089669,5
3350,Anabasis aphylla,species,accepted,Anabasis,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,succulent,NA,independent,NA,broadleaved,NA,NA,21.80671254,14,371.5979169,4,0.531329285,5,NA,NA,NA,NA,NA,NA,NA,NA,3
3369,Anabasis salsa,species,accepted,Anabasis,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,succulent,NA,independent,NA,broadleaved,NA,NA,18.41198713,12,431.7327275,6,0.1,3,NA,NA,NA,NA,NA,NA,NA,NA,3
3372,Anabasis truncata,species,accepted,Anabasis,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,NA,NA,11.71054534,2,391.7740819,2,0.2,6,NA,NA,NA,NA,NA,NA,NA,NA,3
39141,Anacamptis coriophora,species,accepted,Anacamptis,Orchidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.21114718,13,NA,NA,NA,NA,NA,NA,NA,NA,1
39148,Anacamptis laxiflora,species,accepted,Orchis,Orchidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.3,10,0.001,7,NA,NA,NA,NA,NA,NA,2
39155,Anacamptis morio,species,accepted,Anacamptis,Orchidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,525.75,5,NA,NA,23.98656752,5,0.196214734,16,NA,NA,NA,NA,0.12,5,0.10925,0.10925,4
39157,Anacamptis palustris,species,accepted,Anacamptis,Orchidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.330975092,NA,0.002,4,NA,NA,NA,NA,NA,NA,2
91959,Anacamptis papilionacea,species,accepted,Anacamptis,Orchidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,NA,NA,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,0.254582168,6,NA,NA,NA,NA,NA,NA,NA,NA,1
3375,Anacamptis pyramidalis,species,accepted,Anacamptis,Orchidaceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1190,6,NA,NA,23.2782343,8,0.347385941,19,NA,NA,NA,NA,0.11,6,0.10037,0.10037,4
3386,Anacyclus clavatus,species,accepted,Anacyclus,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,396.3,1,NA,NA,50.40322581,2,0.45,1,0.5339,12,NA,NA,NA,NA,NA,NA,4
3425,Anagyris foetida,species,accepted,Anagyris,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,NA,NA,37.2,2,95.41984733,8,1.5,2,360.045,31,NA,NA,NA,NA,NA,NA,4
3433,Anaphalis margaritacea,species,accepted,Anaphalis,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1465.02,11,17.76384616,5,69.51843045,11,0.633818409,15,0.0445,14,NA,NA,0.296254214,7,0.251107208,0.251107208,6
