TRY 30 AccSpecies ID,Species name standardized against TPL,Taxonomic level,Status according to TPL,Genus,Family,Phylogenetic Group within angiosperms,Phylogenetic Group General,Adaptation to terrestrial or aquatic habitats,Woodiness,Growth Form,Succulence,Nutrition type (parasitism),Nutrition type (carnivory),Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
688,Acaena novae-zelandiae,species,accepted,Acaena,Rosaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,climber,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.128452326,4,1.5731,13,NA,NA,NA,NA,NA,NA,2
707,Acalypha australis,species,accepted,Acalypha,Euphorbiaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.99,6,NA,NA,NA,NA,NA,NA,1
750,Acalypha virginica,species,accepted,Acalypha,Euphorbiaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1351.62,10,24.56692161,4,34.457,11,0.91,3,0.6394,14,NA,NA,0.240307,10,0.221790868,0.221790868,6
783,Acanthus mollis,species,accepted,Acanthus,Acanthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,208,7,NA,NA,NA,NA,NA,NA,1
797,Acer campestre,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,3146.41,32,21.33122664,30,72.14786871,72,12.21743343,103,122,74,0.606907388,52,NA,NA,NA,0.606907388,6
799,Acer cappadocicum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,16.86865331,7,84.2,6,NA,NA,NA,NA,NA,NA,2
831,Acer cappadocicum subsp. lobelii,variety or subspecies,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,30,1,147,6,NA,NA,NA,NA,NA,NA,2
879,Acer caudatum subsp. ukurundense,variety or subspecies,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,4542.29,NA,27.4676173,2,37.3076902,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,4
65234,Acer coriaceum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,20,6,NA,NA,NA,NA,NA,NA,1
819,Acer granatense,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,15,2,39.38,2,NA,NA,NA,NA,NA,NA,2
823,Acer heldreichii,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,15,5,223,6,NA,NA,NA,NA,NA,NA,2
875,Acer heldreichii subsp. trautvetteri,variety or subspecies,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,16,5,89,6,NA,NA,NA,NA,NA,NA,2
839,Acer monspessulanum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,1232.88,5,19.56226216,13,84.90352466,32,7.665796145,37,26.6805,10,0.899523204,19,NA,NA,NA,0.899523204,6
841,Acer negundo,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,28.3498206,19,44.79586572,82,10.02481866,75,29.7327,48,0.447590254,12,NA,NA,NA,0.447590254,5
848,Acer opalus,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,32.7,2,61.88241254,10,9.610677687,30,77,7,0.72600997,61,NA,NA,NA,0.72600997,5
846,Acer opalus subsp. obtusatum,variety or subspecies,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,8005.77,10,17.71,1,43.09110196,11,8.94427191,3,NA,NA,NA,NA,NA,NA,NA,NA,4
849,Acer palmatum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub/tree,NA,independent,NA,broadleaved,1562.45,40,22.5,1,40.67897393,48,15,4,31.9156,47,NA,NA,NA,NA,NA,NA,5
854,Acer platanoides,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,7085.13,62,19.41733253,38,51.66101092,106,21.92566202,84,121.5964,42,0.583665,11,NA,NA,NA,0.583665,6
855,Acer pseudoplatanus,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,8456.57,86,23.625938,43,72.11836115,140,24.46265636,88,64.6069,68,0.562813905,23,NA,NA,NA,0.562813905,6
859,Acer rubrum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,2989.66,129,17.80857407,283,58.65691012,205,14.11947709,153,21.9339,40,0.567842634,5,NA,NA,NA,0.567842634,6
861,Acer saccharinum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,4605.58,3,23.66,1,51.09886537,15,33.66479553,29,156.1993,27,0.51,3,NA,NA,NA,0.51,6
863,Acer saccharum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,4735.7,3353,18.04807035,598,46.15083,3462,32.93491878,2080,52.8034,31,0.659849981,5,NA,NA,NA,0.659849981,6
864,Acer sempervirens,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub/tree,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,10,2,8,NA,NA,NA,NA,NA,NA,NA,2
873,Acer tataricum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub/tree,NA,independent,NA,broadleaved,NA,NA,12.9,1,NA,NA,6.839903787,10,36.7514,19,NA,NA,NA,NA,NA,NA,3
817,Acer tataricum subsp. ginnala,variety or subspecies,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub/tree,NA,independent,NA,broadleaved,3000,2,23.27,14,47.75459884,8,6.029851238,14,27.3817,15,NA,NA,NA,NA,NA,NA,5
73434,Acer tataricum subsp. semenovii,variety or subspecies,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1
874,Acer tegmentosum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,9094.85,2,24.65056043,6,30.45695447,2,14.56475315,5,35,6,NA,NA,NA,NA,NA,NA,5
880,Acer velutinum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,30,2,125,6,NA,NA,NA,NA,NA,NA,2
890,Achillea ageratum,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.5,2,0.06,2,NA,NA,NA,NA,NA,NA,2
65244,Achillea aspleniifolia,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.1,6,NA,NA,NA,NA,NA,NA,1
893,Achillea atrata,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.119803726,14,NA,NA,NA,NA,NA,NA,NA,NA,1
73468,Achillea biserrata,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Achillea clavennae,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,63.624,NA,0.137397224,NA,0.39,NA,NA,NA,0.127959,NA,0.162920516,0.162920516,4
899,Achillea clypeolata,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.1,6,NA,NA,NA,NA,NA,NA,1
901,Achillea collina,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1037.49,5,NA,NA,57.47126437,5,0.56480085,17,0.1497,7,NA,NA,0.19,5,0.19543,0.19543,5
904,Achillea erba-rotta,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,46.2,NA,45.02476818,3,0.110668192,20,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,Achillea erba-rotta subsp. moschata,variety or subspecies,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,NA,NA,broadleaved,78.12,NA,22.00621068,NA,60.13,NA,NA,NA,0.28,NA,NA,NA,0.253128,NA,0.228509072,0.228509072,5
906,Achillea filipendulina,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.4,2,0.114,8,NA,NA,NA,NA,NA,NA,2
65246,Achillea leptophylla,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,NA,NA,broadleaved,20.97,20,18.47842917,5,188.1218378,20,0.042097243,80,0.09,8,NA,NA,0.257107554,20,0.230594359,0.230594359,6
73474,Achillea ligustica,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,NA,NA,NA,NA,NA,NA,1
909,Achillea millefolium,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,627.23,118,20.54814349,140,72.41469295,271,0.313157943,337,0.1428,132,0.23062,12,NA,NA,NA,0.23062,6
912,Achillea nobilis,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.359093848,12,0.06,3,NA,NA,NA,NA,NA,NA,2
73480,Achillea oxyloba,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129067158,8,NA,NA,NA,NA,NA,NA,NA,NA,1
916,Achillea ptarmica,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,119,3,NA,NA,46.5291933,46,0.594685467,42,0.2167,40,0.3307675,NA,NA,NA,NA,0.3307675,5
895,Achillea salicifolia,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,472.75,5,NA,NA,47.05882353,5,0.552439054,6,0.26,3,NA,NA,0.2,5,0.20067,0.20067,5
914,Achillea seidlii,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,391.64,10,NA,NA,129.0671821,10,0.354956446,8,0.14,6,NA,NA,0.326190129,10,0.266793627,0.266793627,5
921,Achillea setacea,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.212005558,12,NA,NA,NA,NA,NA,NA,NA,NA,1
73481,Achillea tomentosa,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,0.2319556,6,NA,NA,NA,NA,NA,NA,NA,NA,1
73482,Achillea virescens,species,accepted,Achillea,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246621207,6,NA,NA,NA,NA,NA,NA,NA,NA,1
941,Achyranthes aspera,species,accepted,Achyranthes,Amaranthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid/shrub,NA,independent,NA,broadleaved,3019,2,NA,NA,NA,NA,1.25,5,3.1651,18,NA,NA,NA,NA,NA,NA,3
73526,Aconitum anthora,species,accepted,Aconitum,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,0.538608673,6,NA,NA,NA,NA,NA,NA,NA,NA,1
73529,Aconitum burnatii,species,accepted,Aconitum,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.607317794,6,NA,NA,NA,NA,NA,NA,NA,NA,1
1022,Aconitum degenii,species,accepted,Aconitum,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.861684397,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1027,Aconitum lycoctonum,species,accepted,Aconitum,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,NA,NA,broadleaved,11509.57,10,NA,NA,44.61888946,10,0.920674193,12,3.1499,15,NA,NA,0.134907376,10,0.166561465,0.166561465,5
1028,Aconitum napellus,species,accepted,Aconitum,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,5534.71,10,NA,NA,47.44013977,10,0.797127172,26,3.6211,15,NA,NA,0.17,10,0.18495,0.18495,5
64188,Aconitum nasutum,species,accepted,Aconitum,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,2086.76,1,28.98,1,44.014084510000004,1,NA,NA,NA,NA,NA,NA,0.18,1,0.19019,0.19019,4
101717,Aconitum orientale,species,accepted,Aconitum,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,NA,non-woody,herbaceous non-graminoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,NA,NA,NA,NA,NA,NA,1
65264,Aconitum soongaricum,species,accepted,Aconitum,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,1.99,2,NA,NA,NA,NA,NA,NA,1
1037,Aconitum variegatum,species,accepted,Aconitum,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,1.060186843,14,NA,NA,NA,NA,NA,NA,NA,NA,1
1045,Acorus calamus,species,accepted,Acorus,Acoraceae,Angiosperm_Monocotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,8953.14,12,18,1,62.53763527,40,0.9672124,10,2.3701,8,NA,NA,0.239165215,16,0.215068711,0.215068711,6
1132,Actaea rubra,species,accepted,Actaea,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1252.29,3,18.8,1,25.21905229,3,1,NA,10.6851,5,NA,NA,NA,NA,NA,NA,5
1133,Actaea spicata,species,accepted,Actaea,Ranunculaceae,Angiosperm_Magnoliid,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,21940.22,17,23.00282667,1,26.9250339,17,0.463995288,35,6.2782,21,NA,NA,0.244948974,17,0.224223263,0.224223263,6
1138,Actinidia chinensis,species,accepted,Actinidia,Actinidiaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,climber,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,1.3856,6,NA,NA,NA,NA,NA,NA,1
1140,Actinidia kolomikta,species,accepted,Actinidia,Actinidiaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,climber,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,3.674234614,4,NA,NA,NA,NA,NA,NA,NA,NA,1
1246,Adenocarpus complicatus,species,accepted,Adenocarpus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,2,4,8.1706,20,NA,NA,NA,NA,NA,NA,2
1252,Adenocarpus telonensis,species,accepted,Adenocarpus,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,1.5,2,7,8,NA,NA,NA,NA,NA,NA,2
1270,Adenophora liliifolia,species,accepted,Adenophora,Campanulaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.46652857,6,0.2924,10,NA,NA,NA,NA,NA,NA,2
1287,Adenostyles alliariae,species,accepted,Adenostyles,Compositae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,74753.34,16,24.96,4,37.82805233,16,0.722971817,14,NA,NA,NA,NA,0.114891253,16,0.156073017,0.156073017,5
