wfo_accepted_name,EIVEres-L,EIVEres-T,EIVEres-M,EIVEres-R,EIVEres-N,Species name standardized against TPL,Genus,Family,Woodiness,Growth Form,Leaf type,Leaf area (mm2),Nmass (mg/g),LMA (g/m2),Plant height (m),Diaspore mass (mg),SSD observed (mg/mm3),SSD combined (mg/mm3),SSD used (mg/mm3),Leaf area (n.o.),Nmass (n.o.),LMA (n.o.),Plant height (n.o.),Diaspore mass (n.o.),SSD (n.o.),ssd_imputed_used,min_records_6traits,Myco_Group_Final
Carex sylvatica,2.26234280914251,4.08865289910452,4.9153494933705,6.35223497736383,5.60215989119485,Carex sylvatica,Carex,Cyperaceae,non-woody,herbaceous graminoid,broadleaved,677,21.8,38.3182951,0.450572803,1.5489,NA,0.266194232,0.266194232,33,8,34,42,24,NA,1,8,Pure_NM
Carex umbrosa,3.97366312029126,4.3168479347022,4.6783433194462,5.39841835521907,4.41011518399301,Carex umbrosa,Carex,Cyperaceae,non-woody,herbaceous graminoid,broadleaved,394.69,14.40989452,45.82433929,0.299367784,0.4733,NA,0.293551656,0.293551656,16,19,16,24,6,NA,1,6,Pure_NM
Carex vaginata,7.03106168193384,2.01628961806431,6.43984203359829,4.37832442877716,2.67736623439679,Carex vaginata,Carex,Cyperaceae,non-woody,herbaceous graminoid,broadleaved,356.18,17.60320184,46.47074332,0.516376578,1.9013,NA,0.308362354,0.308362354,11,25,23,23,12,NA,1,11,Pure_NM
Carex vesicaria,6.86594936912523,3.44959205454933,7.4371745652032,5.81245023519466,4.91180159422022,Carex vesicaria,Carex,Cyperaceae,non-woody,herbaceous graminoid,broadleaved,1222,19.2,60.82056749,0.587900691,0.9443,NA,0.28685,0.28685,6,1,7,21,24,NA,1,1,Pure_NM
Carex vulpinoidea,7.62544469541229,4.50478963966277,5.43836166938007,5.30398529552315,4.88391971186859,Carex vulpinoidea,Carex,Cyperaceae,non-woody,herbaceous graminoid,broadleaved,509.67,27.53,54.28198262,0.351725121,0.7867,NA,0.278915374,0.278915374,3,1,4,8,6,NA,1,1,Pure_NM
Carlina acaulis,8.01010838090956,3.81571364228152,3.52651055994574,5.56437471492393,2.77187673200464,Carlina acaulis,Carlina,Compositae,non-woody,herbaceous non-graminoid,broadleaved,3989,18.34,89.4878176,0.141708217,3.6645,NA,0.18495,0.18495,21,5,23,18,11,NA,1,5,NA
Carlina vulgaris,7.25847597972583,4.3382607612943,3.35534603117648,7.03412246912591,3.07361299389211,Carlina vulgaris,Carlina,Compositae,non-woody,herbaceous non-graminoid,broadleaved,308.82,15.78,63.36948878,0.294969232,1.4433,0.11,0.11,0.11,13,3,16,35,29,2,0,2,Facultative_AM_NM
Carpinus betulus,3.6522337077091,4.69399403826895,4.57458892915161,5.62340754712675,5.34029440076268,Carpinus betulus,Carpinus,Betulaceae,woody,tree,broadleaved,2191.45,21.13373374,51.02424264,16.71824372,36.46,0.627711686,0.627711686,0.627711686,28,45,54,65,39,15,0,15,Pure_EM
Carum carvi,7.85037145921377,3.39442657596821,4.51222002845059,5.93317859792487,5.78818457270272,Carum carvi,Carum,Apiaceae,non-woody,herbaceous non-graminoid,broadleaved,1254.93,29.0267192,45.04545562,0.437555986,2.191,NA,0.209510031,0.209510031,5,11,24,38,32,NA,1,5,Facultative_AM_NM
Castanea sativa,4.99896611969751,5.85716324984451,4.42240041947138,3.96040094449397,3.89842809632755,Castanea sativa,Castanea,Fagaceae,woody,tree,broadleaved,7033.85,21.60925315,75.49467764,27.11682479,3488.8615,0.568485975,0.568485975,0.568485975,59,166,84,48,23,194,0,23,Mixed_Uncertain
Catalpa speciosa,7.62544469541229,6.62266157176124,4.7983589099595,5.41454203788441,4.88391971186859,Catalpa speciosa,Catalpa,Bignoniaceae,woody,tree,broadleaved,13590.78,21.37638884,80.64516129,23.41794184,19.753,0.38,0.38,0.38,80,2,81,9,14,2,0,2,NA
Catananche caerulea,8.29467423509102,5.91855792508055,3.75399418139987,7.36675721665432,2.79845423248291,Catananche caerulea,Catananche,Compositae,non-woody,herbaceous non-graminoid,broadleaved,485,20.3,64.67394957,0.452701906,3.28,NA,0.170713989,0.170713989,2,2,8,10,6,NA,1,2,NA
Catapodium rigidum,8.92586809392755,5.44657109168436,2.37486018051754,7.01657054806042,3.01762021102194,Catapodium rigidum,Catapodium,Poaceae,non-woody,herbaceous graminoid,broadleaved,29.28,16.86416192,42.05377472,0.094415256,0.1972,NA,0.264183009,0.264183009,2,1,3,20,7,NA,1,1,Low_Confidence
Cedrus deodara,5.05345341759499,6.10748521688787,5.70443442454531,4.86498670931644,4.23531679292435,Cedrus deodara,Cedrus,Pinaceae,woody,tree,needleleaved,27.64,14.92,162.2206777,39.99791656,114.984,0.589745708,0.589745708,0.589745708,45,9,45,18,12,11,0,9,Mixed_Uncertain
Celtis australis,6.88694903613888,6.30346899686525,3.00724069668441,7.21650907778752,4.69684910045446,Celtis australis,Celtis,Cannabaceae,woody,tree,broadleaved,675,26.5,51.06825912,23.20794417,182.6421,0.610643413,0.610643413,0.610643413,15,5,19,12,21,18,0,5,Facultative_AM_NM
Celtis occidentalis,5.42527060349624,6.62266157176124,5.61722044249894,5.41454203788441,4.88391971186859,Celtis occidentalis,Celtis,Cannabaceae,woody,tree,broadleaved,4800,25.35006163,82.32832517,21.76693292,87.1522,0.49,0.49,0.49,2,7,13,19,20,2,0,2,NA
Centaurea aspera,8.47864351513062,6.70783698228225,1.88879091762745,6.46186932145054,5.07648199945205,Centaurea aspera,Centaurea,Compositae,non-woody,herbaceous non-graminoid,broadleaved,936.36,27.7,61.57592638,0.504817915,3.7462,NA,0.17447,0.17447,1,4,7,19,20,NA,1,1,NA
Centaurea diffusa,8.43850638822808,5.64064113166103,2.69049839607523,6.92332891555987,4.158207206949,Centaurea diffusa,Centaurea,Compositae,non-woody,herbaceous non-graminoid,broadleaved,191.3,16.97,64.81747711,0.274203619,2.2308,NA,0.205785167,0.205785167,20,3,20,18,7,NA,1,3,Facultative_AM_NM
Centaurea jacea,7.15330342275834,3.82310451638692,4.435640371617,5.84995597663676,4.54580366413681,Centaurea jacea,Centaurea,Compositae,non-woody,herbaceous non-graminoid,broadleaved,787.11,24.67400334,49.92304298,0.482362217,1.4104,0.3406,0.3406,0.3406,166,34,230,287,55,2,0,2,Pure_AM
Centaurea nigra,7.82235398310867,3.67581846749432,4.24756243506733,3.66691557566827,4.03917831567621,Centaurea nigra,Centaurea,Compositae,non-woody,herbaceous non-graminoid,broadleaved,1025.3,24.57139192,48.30019574,0.49725474,2.5256,NA,0.199561164,0.199561164,29,26,66,75,65,NA,1,26,Facultative_AM_NM
Centaurea nigrescens,7.94986569749109,4.31825496362988,4.20720736258848,5.72924858748785,5.2212442340809,Centaurea nigrescens,Centaurea,Compositae,non-woody,herbaceous non-graminoid,broadleaved,2342.94,19.08950977,39.101,0.56224414,2.61,NA,0.190783692,0.190783692,10,3,10,12,7,NA,1,3,NA
Centaurea pectinata,6.19416987116172,5.96169763609029,3.667297483419,5.80959723181946,2.61233957976219,Centaurea pectinata,Centaurea,Compositae,non-woody,herbaceous non-graminoid,broadleaved,459,21.81058198,59.02881723,0.21812139,2.8898,NA,0.200293157,0.200293157,NA,NA,NA,NA,NA,NA,1,NA,NA
Centaurea rhaetica,6.74514356269967,2.20204248012273,2.46576689109245,7.04467059073641,2.17310693965502,Centaurea rhaetica,Centaurea,Compositae,non-woody,herbaceous non-graminoid,broadleaved,111.11,25.23739431,71.06,0.215443469,2.06,NA,0.205286964,0.205286964,15,3,15,6,7,NA,1,3,NA
Centaurea scabiosa,7.432986592874,4.24501307176663,3.06647855971209,7.66978923784191,3.58800034579727,Centaurea scabiosa,Centaurea,Compositae,non-woody,herbaceous non-graminoid,broadleaved,4984.86,22.3,55.22801807,0.684214738,6.2991,NA,0.19543,0.19543,19,15,40,29,29,NA,1,15,Facultative_AM_NM
Centaurium erythraea,7.78656034504644,4.58474052967326,4.64231176444382,5.86870245248093,4.48024735189244,Centaurium erythraea,Centaurium,Gentianaceae,non-woody,herbaceous non-graminoid,broadleaved,251.24,21.32134449,49.71262845,0.112285915,0.015,NA,0.226867205,0.226867205,22,10,24,43,43,NA,1,10,Facultative_AM_NM
Cerastium arvense,8.13544980153242,4.40241357198412,3.37299806753376,6.44524625581026,4.00534910735322,Cerastium arvense,Cerastium,Caryophyllaceae,non-woody,herbaceous non-graminoid,broadleaved,26.65,29.15757075,50.69646213,0.083665112,0.1832,0.21325,0.21325,0.21325,18,10,50,63,27,1,0,1,Facultative_AM_NM
Cerastium fontanum,6.757115909483,3.1687504028602,4.57887291373272,5.44810637626236,4.89209353310051,Cerastium fontanum,Cerastium,Caryophyllaceae,non-woody,herbaceous non-graminoid,broadleaved,109.55,19.62212259,35.9696487,0.167019023,0.1041,0.203509833,0.203509833,0.203509833,16,21,81,135,112,NA,0,16,Pure_NM
Cerastium fontanum subsp. vulgare,6.23593450619025,3.68166282273548,4.60015338502606,5.80121202423187,5.18263310529789,Cerastium fontanum subsp. vulgare,Cerastium,Caryophyllaceae,non-woody,herbaceous non-graminoid,broadleaved,120.39,10.80520618,35.00793177,0.196493744,0.1258,NA,0.174707055,0.174707055,11,3,16,7,18,NA,1,3,NA
Cerastium glomeratum,7.0856930010433,4.36455563188686,4.28429545373256,5.26551046798793,5.73258567371379,Cerastium glomeratum,Cerastium,Caryophyllaceae,non-woody,herbaceous non-graminoid,broadleaved,113.89,19.65566268,35.28974806,0.180159249,0.0598,0.18399,0.18399,0.18399,18,23,51,114,53,NA,0,18,Pure_NM
Cerastium pumilum,8.91890737554265,4.47325005269045,4.3664118658058,7.12250116924228,2.5787041107816,Cerastium pumilum,Cerastium,Caryophyllaceae,non-woody,herbaceous non-graminoid,broadleaved,19.42,15.25,46.44737567,0.068048715,0.0574,NA,0.18407027,0.18407027,NA,NA,NA,NA,NA,NA,1,NA,Pure_NM
Cerastium purpurascens,7.45868626769425,2.51967478749518,4.40872970377336,5.68716360525586,3.34877226823573,Cerastium purpurascens,Cerastium,Caryophyllaceae,non-woody,herbaceous non-graminoid,broadleaved,108.7,23.26,53.59056806,0.25,0.49,NA,0.18495,0.18495,2,1,1,1,1,NA,1,1,Pure_NM
Cerastium semidecandrum,8.23680508849214,5.10970962890803,2.94250043454589,5.84334819554758,3.35597226734297,Cerastium semidecandrum,Cerastium,Caryophyllaceae,non-woody,herbaceous non-graminoid,broadleaved,30.08,7.660652719,53.17195389,0.072110718,0.0327,NA,0.188844731,0.188844731,17,3,19,28,35,NA,1,3,Pure_NM
Ceratocarpus arenarius,8.30999145242199,4.95518796050609,1.97019308102019,6.91374008418218,1.90013587586818,Ceratocarpus arenarius,Ceratocarpus,Amaranthaceae,non-woody,herbaceous non-graminoid,broadleaved,11,37.9,77.25078725,0.05,4.01,NA,0.320121298,0.320121298,4,21,16,2,4,NA,1,2,Pure_NM
Ceratonia siliqua,8.79075673845761,8.37708357695756,2.64044094084976,7.23394886850257,4.6781380995566,Ceratonia siliqua,Ceratonia,Leguminosae,woody,tree,broadleaved,942,14.17371319,222.4905808,12.24744871,192.2915,0.518019884,0.518019884,0.518019884,14,8,27,13,23,1,0,1,Facultative_AM_NM
Ceratophyllum demersum,6.06655229715118,5.0501945480194,8.95841005498436,7.89814281958798,8.12746549282951,Ceratophyllum demersum,Ceratophyllum,Ceratophyllaceae,non-woody,herbaceous non-graminoid,broadleaved,32.38,42.08972667,22.70763397,0.405798974,4.7334,NA,0.156809609,0.156809609,19,3,21,9,1,NA,1,1,Pure_NM
Cerinthe minor,7.61364997628944,4.98514934479495,3.61811314209058,7.06523773383513,4.67684162038481,Cerinthe minor,Cerinthe,Boraginaceae,non-woody,herbaceous non-graminoid,broadleaved,1682.21,22.87854097,29.516,0.316148679,18.2043,NA,0.183314596,0.183314596,10,3,10,16,8,NA,1,3,NA
Chaerophyllum hirsutum,5.70366368384994,2.96645495759644,6.52012004558985,5.94665990735993,7.3462777149122,Chaerophyllum hirsutum,Chaerophyllum,Apiaceae,non-woody,herbaceous non-graminoid,broadleaved,19416.6,25.93191084,48.19942566,0.591321714,4.7592,0.23444,0.23444,0.23444,20,9,26,28,7,NA,0,7,NA
Chaerophyllum roseum,5.45357592131091,2.51967478749518,4.40872970377336,5.68716360525586,4.90363067068523,Chaerophyllum roseum,Chaerophyllum,Apiaceae,non-woody,herbaceous non-graminoid,broadleaved,1508.42,27.94,54.2888165,0.6480740698,4.66,NA,0.24259,0.24259,3,1,1,2,1,NA,1,1,Facultative_AM_NM
Cheirolophus sempervirens,8.19776558893594,7.08946542850455,3.30890612644024,7.2478703529952,5.05454803355489,Cheirolophus sempervirens,Cheirolophus,Compositae,non-woody,herbaceous non-graminoid,broadleaved,5495,28.02022484,31.3019663,0.415432222,9.0957,0.24184,0.24184,0.24184,2,6,14,29,17,NA,0,2,NA
Chelidonium majus,5.89428475980384,4.44319652133083,4.39984187333797,6.84432441918898,8.39113703254886,Chelidonium majus,Chelidonium,Papaveraceae,non-woody,herbaceous non-graminoid,broadleaved,8765.3,42.4448541,23.66648016,0.49176691,0.7328,NA,0.192490826,0.192490826,14,3,21,29,37,NA,1,3,Pure_NM
Chenopodium album,7.62544469541229,5.79530546666759,2.34177431234116,5.41454203788441,7.23453692274299,Chenopodium album,Chenopodium,Amaranthaceae,non-woody,herbaceous non-graminoid,broadleaved,644.62,35.84945113,49.12443391,0.560605633,0.5921,NA,0.189282547,0.189282547,184,54,251,252,48,NA,1,48,Facultative_AM_NM
Chenopodium bonus-henricus,7.64909164521343,3.5743383851413,4.17186382486776,6.13068108038134,9.27445191109691,Chenopodium bonus-henricus,Chenopodium,Amaranthaceae,non-woody,herbaceous non-graminoid,broadleaved,4677.54,51.35,36.45654432,0.38058042,1.8295,NA,0.188409951,0.188409951,25,5,24,40,21,NA,1,5,Low_Confidence
Chondrilla juncea,8.02808471932898,5.5032663900037,2.69494916463679,6.83933787823647,4.84149224542411,Chondrilla juncea,Chondrilla,Compositae,non-woody,herbaceous non-graminoid,broadleaved,301.25,21.53,113.7262086,0.480762372,0.3331,0.218957,0.218957,0.218957,7,4,14,31,12,NA,0,4,Pure_NM
Chrysopogon gryllus,8.44895339633373,5.9714217724792,2.79445347969536,6.89022859528029,2.92606725108202,Chrysopogon gryllus,Chrysopogon,Poaceae,non-woody,herbaceous graminoid,broadleaved,588.78,15.56350932,56.05211646,0.61766821,1.6449,0.280708,0.280708,0.280708,10,15,23,42,24,NA,0,10,NA
Chrysosplenium alternifolium,3.24308617972166,3.15885149796886,6.27933836457445,6.72396845563218,5.15889731487508,Chrysosplenium alternifolium,Chrysosplenium,Saxifragaceae,non-woody,herbaceous non-graminoid,broadleaved,286.36,23.76,27.07905553,0.17239819,0.0464,NA,0.156073017,0.156073017,9,2,12,18,10,NA,1,2,Pure_NM
Chrysosplenium oppositifolium,4.83166851470873,3.86300877201517,7.35293484712075,5.13418945285452,5.38112667004688,Chrysosplenium oppositifolium,Chrysosplenium,Saxifragaceae,non-woody,herbaceous non-graminoid,broadleaved,142.29,26.6,42.94328627,0.09085603,0.0445,NA,0.158531286,0.158531286,5,1,4,21,15,NA,1,1,Low_Confidence
Cichorium intybus,8.51727872026435,4.72676673048859,3.70820397423971,7.39283629506195,5.18683724890365,Cichorium intybus,Cichorium,Compositae,non-woody,herbaceous non-graminoid,broadleaved,1864.16,26.61022504,53.07131618,0.67197525,1.1701,NA,0.186529227,0.186529227,29,8,59,84,39,NA,1,8,Facultative_AM_NM
Circaea alpina,2.99496382300553,3.21693902522279,5.90742160550682,4.41831015118624,4.67421681572216,Circaea alpina,Circaea,Onagraceae,non-woody,herbaceous non-graminoid,broadleaved,683,18.35401863,22.64492754,0.141822305,0.6202,NA,0.18495,0.18495,7,2,5,29,24,NA,1,2,Facultative_AM_NM
Circaea lutetiana,3.12301790138374,4.24636080760679,5.36952963500661,6.91100687074137,7.121871082454,Circaea lutetiana,Circaea,Onagraceae,non-woody,herbaceous non-graminoid,broadleaved,2312.64,23.65324455,22.21878538,0.334912555,1.9623,0.169659539,0.169659539,0.169659539,17,13,20,33,31,6,0,6,Facultative_AM_NM
Cirsium arvense,7.75487551705544,4.11764279446687,4.26763176470804,5.96726961900693,6.897855033145,Cirsium arvense,Cirsium,Compositae,non-woody,herbaceous non-graminoid,broadleaved,5570.16,24.72195493,41.8295339,0.652958113,1.6595,0.07227,0.07227,0.07227,97,22,150,183,73,5,0,5,Facultative_AM_NM
Cirsium dissectum,7.55507619766035,5.21704165117256,6.71503078078891,3.79270108550358,2.09839324445084,Cirsium dissectum,Cirsium,Compositae,non-woody,herbaceous non-graminoid,broadleaved,3621.47,17.25,54.02106279,0.460635482,1.9257,0.2,0.2,0.2,15,2,22,14,19,2,0,2,NA
Cirsium heterophyllum,6.49574801001735,2.5660477124502,6.00094310706548,5.02462090480712,6.38732337321032,Cirsium heterophyllum,Cirsium,Compositae,non-woody,herbaceous non-graminoid,broadleaved,31623,23.62363224,40.501132,0.682189258,1.9,NA,0.15692648,0.15692648,2,4,4,9,NA,NA,1,2,Facultative_AM_NM
Cirsium oleraceum,5.65497509731194,3.85409017057959,6.11035862481777,7.43749155894074,5.99570929226363,Cirsium oleraceum,Cirsium,Compositae,non-woody,herbaceous non-graminoid,broadleaved,3107.25,37.14,35.26795422,0.882299661,2.6088,NA,0.16923,0.16923,5,1,7,17,4,NA,1,1,Facultative_AM_NM
Cirsium palustre,6.84174266019634,3.90960201568287,6.40370732930079,4.34898792409188,3.88276472016351,Cirsium palustre,Cirsium,Compositae,non-woody,herbaceous non-graminoid,broadleaved,3355.24,17.24899997,52.49956651,0.801792795,2.0733,0.09,0.09,0.09,4,6,36,66,37,2,0,2,Facultative_AM_NM
Cirsium pannonicum,6.96681490617542,4.80316962853371,3.65481674087685,7.25194763127189,3.24750059745779,Cirsium pannonicum,Cirsium,Compositae,non-woody,herbaceous non-graminoid,broadleaved,2755.37,18.16977322,65.297,0.607630961,2.1947,NA,0.190042232,0.190042232,10,3,10,7,8,NA,1,3,NA
Cirsium vulgare,7.76935213187863,4.22975729024364,4.2142381523553,6.44007171692517,7.46711097166548,Cirsium vulgare,Cirsium,Compositae,non-woody,herbaceous non-graminoid,broadleaved,6798.49,17.26,70.62306208,0.92238856,2.6402,NA,0.16472216,0.16472216,22,3,35,41,43,NA,1,3,Facultative_AM_NM
Cladium mariscus,8.46596179300958,4.91862913030096,8.01681879796197,8.80635280666792,3.74502355777471,Cladium mariscus,Cladium,Cyperaceae,non-woody,herbaceous graminoid,broadleaved,14811.15,15.5,150.3699894,1.485699999,1.8467,NA,0.34901,0.34901,1,1,6,11,15,NA,1,1,Pure_NM
Clinopodium nepeta,6.78390427008943,5.46778936466171,3.07272017751321,8.35713958074915,4.12748241212221,Clinopodium nepeta,Clinopodium,Lamiaceae,non-woody,herbaceous non-graminoid,broadleaved,108,26.62026365,39.67995729,0.312486415,0.242,0.211,0.211,0.211,2,14,27,28,17,NA,0,2,Pure_NM
Clinopodium vulgare,6.5586014104944,4.20989172287157,3.65551662450804,6.8283044141213,3.34595746503944,Clinopodium vulgare,Clinopodium,Lamiaceae,non-woody,herbaceous non-graminoid,broadleaved,343.27,16.09745321,36.9914009,0.356684693,0.3501,0.23833,0.23833,0.23833,37,9,40,76,42,NA,0,9,Facultative_AM_NM
Comarum palustre,7.4531601318525,3.11148321514078,7.5296773343528,3.27487884977178,1.9739533039777999,Comarum palustre,Comarum,Rosaceae,non-woody,herbaceous non-graminoid,broadleaved,2197.21,13.36,55.30288288,0.371233216,0.4222,NA,0.22687,0.22687,4,6,3,4,6,NA,1,3,Facultative_AM_NM
Conium maculatum,7.54245662881272,4.75960068814304,4.66263939790302,6.20723097443238,8.01473587918531,Conium maculatum,Conium,Apiaceae,non-woody,herbaceous non-graminoid,broadleaved,7195.55,46.28,34.03058901,1.221790592,2.5852,NA,0.202590845,0.202590845,9,2,12,25,59,NA,1,2,Facultative_AM_NM
Conopodium majus,6.84444819607916,3.790153474753,4.1481025891776,4.07442368076161,4.14977492452467,Conopodium majus,Conopodium,Apiaceae,non-woody,herbaceous non-graminoid,broadleaved,436.5,38.6,44.4826055,0.262016249,2.3102,NA,0.193651761,0.193651761,8,1,8,25,17,NA,1,1,Low_Confidence
Convallaria majalis,4.37556263351239,4.28322741806914,4.11431496081322,5.60762144362528,4.17388918767921,Convallaria majalis,Convallaria,Asparagaceae,non-woody,herbaceous non-graminoid,broadleaved,6948.04,28.04339354,33.42363478,0.19028428,23.9866,NA,0.201664371,0.201664371,23,16,38,45,47,NA,1,16,Facultative_AM_NM
Convolvulus arvensis,7.08349769242349,4.91829544660292,3.59388609835129,6.9519387907589,5.16739006870961,Convolvulus arvensis,Convolvulus,Convolvulaceae,non-woody,climber,broadleaved,670.88,33.67357285,37.08453982,0.299399835,13.3764,0.192,0.192,0.192,38,14,72,77,58,5,0,5,Facultative_AM_NM
Coreopsis tinctoria,7.62544469541229,6.62266157176124,4.7983589099595,5.41454203788441,4.88391971186859,Coreopsis tinctoria,Coreopsis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,580,14.7,69.44444444,0.415812458,0.232,0.297059524,0.297059524,0.297059524,21,5,21,21,10,5,0,5,NA
Cornus sanguinea,6.31779199452216,4.26064128859209,4.45415328302424,7.56357394350224,5.15498990616859,Cornus sanguinea,Cornus,Cornaceae,woody,shrub/tree,broadleaved,1547.45,22.55417809,52.55304773,2.301963191,56.5895,0.609062199,0.609062199,0.609062199,66,42,122,81,43,12,0,12,Facultative_AM_NM
Cornus sericea,5.2885752563511,4.51459391968001,6.0358283517705,6.01758837253486,5.57111459972868,Cornus sericea,Cornus,Cornaceae,woody,shrub/tree,broadleaved,2345.51,17.55,45.50538139,2.663296645,25.7526,0.48,0.48,0.48,4,4,5,23,19,4,0,4,Facultative_AM_NM
Cornus suecica,5.11007761577343,2.6653123881013,5.84277521466995,1.37756139605373,2.1132539207223,Cornus suecica,Cornus,Cornaceae,non-woody,herbaceous non-graminoid,broadleaved,301.4,19.88696657,29.76673742,0.164964651,3.42,NA,0.19957568,0.19957568,19,16,26,35,5,NA,1,5,Facultative_AM_NM
Coronilla coronata,6.60777536749473,4.68400681455147,2.98801798418492,8.33409255275148,2.58240593697192,Coronilla coronata,Coronilla,Leguminosae,non-woody,herbaceous non-graminoid,broadleaved,243.12,25.30358695,60.23894179,0.406750733,10.7218,NA,0.17913,0.17913,20,3,20,16,11,NA,1,3,NA
Coronilla minima,8.10255310964289,5.24179271992776,2.1925742862742,7.93902254278153,2.1022620085575,Coronilla minima,Coronilla,Leguminosae,non-woody,herbaceous non-graminoid/shrub,broadleaved,36.11,17.89907876,57.14586091,0.188035386,2.9802,NA,0.207057513,0.207057513,NA,NA,NA,NA,NA,NA,1,NA,Pure_NM
Coronilla vaginalis,6.8980050710294,3.71057957442017,2.62697938701481,9.07873008082662,1.99451438956071,Coronilla vaginalis,Coronilla,Leguminosae,non-woody,herbaceous non-graminoid,broadleaved,64.53,28.13092649,56.75368899,0.067283126,6.1921,NA,0.15837,0.15837,15,3,15,14,9,NA,1,3,NA
Corylus avellana,5.41108758378973,4.29905524317882,4.44408362217249,5.74358598676713,5.67750153927115,Corylus avellana,Corylus,Betulaceae,woody,shrub/tree,broadleaved,3860.22,20.85536529,62.64605486,3.929158599,887.8259,0.604768566,0.604768566,0.604768566,82,36,137,70,40,65,0,36,Mixed_Uncertain
Corynephorus canescens,8.32896407398661,4.84665579929306,2.48617710307631,3.1181297343721,1.75332771254598,Corynephorus canescens,Corynephorus,Poaceae,non-woody,herbaceous graminoid,broadleaved,33.5,28.6,66.53286615,0.155954604,0.0972,NA,0.311010906,0.311010906,6,1,19,18,11,NA,1,1,Facultative_AM_NM
Cota tinctoria,8.18399692743626,4.29741952230823,2.50480485354323,5.69189738392227,3.80462276376081,Cota tinctoria,Cota,Compositae,non-woody,herbaceous non-graminoid,broadleaved,292.1,19.11962343,63.14739183,0.409880593,0.4374,NA,0.20476942,0.20476942,14,3,18,15,34,NA,1,3,Facultative_AM_NM
Crataegus monogyna,6.87927309856876,4.71398090986589,4.04057372315532,6.87429867657063,4.45593305978932,Crataegus monogyna,Crataegus,Rosaceae,woody,shrub/tree,broadleaved,572.5,17.84152091,84.38854434,4.263810496,82.3489,0.683841101,0.683841101,0.683841101,123,49,226,80,67,14,0,14,Facultative_AM_NM
Crepis biennis,6.92574694797734,3.99599789844132,4.36360030466381,6.15868401842362,5.48281974134046,Crepis biennis,Crepis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,6059.66,25.5,32.97020532,0.659171648,1.0717,NA,0.160173105,0.160173105,5,4,10,36,20,NA,1,4,Facultative_AM_NM
Crepis capillaris,7.26098707296647,4.48513472835148,3.91766699195785,5.72409750470979,4.04395665062948,Crepis capillaris,Crepis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,1488.2,27.04568715,35.00828874,0.297273347,0.2005,NA,0.158604106,0.158604106,21,3,30,36,23,NA,1,3,Facultative_AM_NM
Crepis foetida,8.63991208279618,5.8187237024814,3.07861681378551,6.8636004739961,4.38824014082776,Crepis foetida,Crepis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,738,21.46997904,44.08969123,0.15464697,0.5713,0.106,0.106,0.106,1,10,11,32,45,NA,0,1,Facultative_AM_NM
Crepis froelichiana,9.38374788797928,1.02022657105829,2.58975946984374,7.64985164952498,1.81291137831584,Crepis froelichiana,Crepis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,839.86,24.44801207,53.015,0.254582168,0.59,NA,0.194181308,0.194181308,10,3,10,6,7,NA,1,3,NA
Crepis paludosa,6.18958327187491,3.03280654993952,6.38672706732658,6.55520634891577,5.59284201500459,Crepis paludosa,Crepis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,2260,26.2518837,26.67580458,0.554758577,0.5846,NA,0.16923,0.16923,2,7,3,24,22,NA,1,2,Facultative_AM_NM
Crepis pyrenaica,6.66063689666667,1.97242210537497,4.7675016608236,6.59017251318388,5.81966961970542,Crepis pyrenaica,Crepis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,3049.25,26.3,33.21462236,0.401262937,2.4926,0.24253,0.24253,0.24253,5,4,9,24,7,NA,0,4,NA
Crepis tectorum,8.18399692743626,4.55320912686485,3.5684744291585,5.9886605792739,5.02437779071133,Crepis tectorum,Crepis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,110.62,14.11794355,48.69409888,0.208255249,0.41,NA,0.174194915,0.174194915,4,3,6,16,NA,NA,1,3,Facultative_AM_NM
Crepis vesicaria,8.21399918682352,5.78190079100481,3.6125831810712,6.67996610853447,6.15264021586603,Crepis vesicaria,Crepis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,1080.42,24.23615275,51.98644082,0.453992793,0.3557,NA,0.180288892,0.180288892,17,7,31,28,22,NA,1,7,NA
Cruciata glabra,6.39882578570307,4.17630813853162,4.38280186150019,5.78646698040091,5.06158272990031,Cruciata glabra,Cruciata,Rubiaceae,non-woody,herbaceous non-graminoid,broadleaved,68.67,17,30.40426714,0.179597209,1.43,NA,0.1968186,0.1968186,30,7,32,39,8,NA,1,7,Pure_NM
Cruciata laevipes,6.48113419816,4.20282236601881,4.64165060190764,5.97645083882802,6.27381784173907,Cruciata laevipes,Cruciata,Rubiaceae,non-woody,herbaceous non-graminoid,broadleaved,64.54,23.98,29.71643095,0.394768559,2.7952,NA,0.216897031,0.216897031,13,1,16,29,8,NA,1,1,Facultative_AM_NM
Cryptomeria japonica,5.74785173738813,6.41159047042839,5.70443442454531,NA,NA,Cryptomeria japonica,Cryptomeria,Cupressaceae,woody,tree,needleleaved,8.4,13.76132198,146.2655651,38.6891744,3.0516,0.345842211,0.345842211,0.345842211,40,11,40,17,12,9,0,9,Facultative_AM_NM
