wfo_accepted_name,EIVEres-L,EIVEres-T,EIVEres-M,EIVEres-R,EIVEres-N,Species name standardized against TPL,Genus,Family,Woodiness,Growth Form,Leaf type,Leaf area (mm2),Nmass (mg/g),LMA (g/m2),Plant height (m),Diaspore mass (mg),SSD observed (mg/mm3),SSD combined (mg/mm3),SSD used (mg/mm3),Leaf area (n.o.),Nmass (n.o.),LMA (n.o.),Plant height (n.o.),Diaspore mass (n.o.),SSD (n.o.),ssd_imputed_used,min_records_6traits,Myco_Group_Final
Actaea spicata,2.13535596928178,3.5958652300955,4.70964102998884,6.28953938928947,7.05012538193574,Actaea spicata,Actaea,Ranunculaceae,non-woody,herbaceous non-graminoid,broadleaved,21940.22,23.00282667,26.9250339,0.463995288,6.2782,NA,0.224223263,0.224223263,17,1,17,35,21,NA,1,1,Facultative_AM_NM
Adenostyles alpina,5.22328869703902,1.6577405036826,5.44754310621828,8.35196237670896,5.33728072900162,Adenostyles alpina,Adenostyles,Compositae,non-woody,herbaceous non-graminoid,broadleaved,18139.15,26.19419343,49.60434227,0.51218054,1.38,NA,0.170641547,0.170641547,10,3,10,8,NA,NA,1,3,NA
Adoxa moschatellina,3.51775429321735,3.84135710052245,5.19376007341007,6.98554896613119,7.4267180845286,Adoxa moschatellina,Adoxa,Adoxaceae,non-woody,herbaceous non-graminoid,broadleaved,1807.64,37.2424489,26.14968019,0.084653746,32.315,NA,0.163855375,0.163855375,7,2,8,28,10,NA,1,2,Facultative_AM_NM
Aegilops geniculata,8.97922603414323,6.51664197620805,2.470049614448,6.84630814150534,4.7533725952841,Aegilops geniculata,Aegilops,Poaceae,non-woody,herbaceous graminoid,broadleaved,37,28.61138235,42.70151915,0.084852814,13.0511,NA,0.23436831,0.23436831,2,4,31,6,16,NA,1,2,NA
Aegopodium podagraria,4.1035858872099,3.94762838231401,5.09448927507191,6.532492806049,7.92410414034594,Aegopodium podagraria,Aegopodium,Apiaceae,non-woody,herbaceous non-graminoid,broadleaved,2761.61,27.49424823,35.33456851,0.620893798,2.2244,0.1,0.1,0.1,12,15,30,39,14,6,0,6,Pure_AM
Aesculus hippocastanum,4.53495281802423,5.22867189388283,4.81987734554561,5.95223496934998,6.33054634612235,Aesculus hippocastanum,Aesculus,Sapindaceae,woody,tree,broadleaved,5885.85,22.0139134,75.34050475,17.03603303,9672.3883,0.5,0.5,0.5,45,24,66,41,38,4,0,4,Facultative_AM_NM
Agrimonia eupatoria,6.73404744270638,4.687923070927,3.67384764078045,7.46290502002279,4.5216331761683,Agrimonia eupatoria,Agrimonia,Rosaceae,non-woody,herbaceous non-graminoid,broadleaved,4557.53,16.54539211,54.60778094,0.48684316,6.7809,0.247,0.247,0.247,7,6,30,68,66,NA,0,6,Facultative_AM_NM
Agropyron cristatum,NA,5.7552865825384,2.96966134557304,6.39429220551673,NA,Agropyron cristatum,Agropyron,Poaceae,non-woody,herbaceous graminoid,broadleaved,167.75,15.25,111.9021923,0.429301907,2.829,NA,0.387809055,0.387809055,23,13,18,5,18,NA,1,5,Pure_AM
Agropyron desertorum,8.59937626382267,5.27624570066378,2.08912381288552,8.46429149459675,5.18344180649831,Agropyron desertorum,Agropyron,Poaceae,non-woody,herbaceous graminoid,broadleaved,290,23.15,112.3595506,0.387298335,2.1044,NA,0.37565,0.37565,10,3,10,11,9,NA,1,3,Facultative_AM_NM
Agrostemma githago,7.47419339316148,4.63483252911475,3.90626280433583,6.10544089533016,5.25518061593448,Agrostemma githago,Agrostemma,Caryophyllaceae,non-woody,herbaceous non-graminoid,broadleaved,999.75,23.06531301,56.40157924,0.745052291,13.7424,NA,0.20067,0.20067,16,3,15,36,56,NA,1,3,Pure_NM
