species,LMA,Nmass,LeafArea,PlantHeight,DiasporeMass,SSD,source
Crepis pyrenaica,33.21462236,26.3,3049.25,0.401262937,2.4926,0.24253,MAG
Crepis tectorum,48.69409888,14.11794355,110.62,0.208255249,0.41,0.174194915,MAG
Crepis vesicaria,51.98644082,24.23615275,1080.42,0.453992793,0.3557,0.180288892,MAG
Cruciata glabra,30.40426714,17,68.67,0.179597209,1.43,0.1968186,MAG
Cruciata laevipes,29.71643095,23.98,64.54,0.394768559,2.7952,0.216897031,MAG
Cryptomeria japonica,146.2655651,13.76132198,8.4,38.6891744,3.0516,0.345842211,MAG
Cupressus sempervirens,171.8213058,8.058411754,1,31.58179799,7.7612,0.499671785,MAG
Cyclamen purpurascens,28.731,32.82999666,1816.38,0.081519311,5.8,0.14962978,MAG
Cynodon dactylon,38.28719064,28.78854451,85.27,0.180624177,0.1719,0.237,MAG
Cynosurus cristatus,40.82822678,21.67078679,346.37,0.422422013,0.5162,0.222816753,MAG
Cytisus scoparius,63.05439053,31.07477716,18.34,1.350092937,7.9474,0.681251632,MAG
Dactylis glomerata,44.32728178,20.99564726,1457.46,0.691109667,0.8078,0.2509919,MAG
Danthonia decumbens,61.5860552,16.8721488,417.23,0.221348096,1.0357,0.26192685,MAG
Datura stramonium,46.63985028,57.72756707,14738.85,0.79550658,9.1799,0.161317579,MAG
Daucus carota,53.55342884,23.18843284,1056.88,0.417898488,1.0622,0.14791414,MAG
Deschampsia cespitosa,68.97522608,18.13760869,498.52,0.616255909,0.2325,0.26761,MAG
Descurainia sophia,46.49518808,46.94,765.19,0.403093637,0.1105,0.187532564,MAG
Dianthus armeria,67.58639218,19.75,231,0.406555834,0.3106,0.19019,MAG
Dianthus chinensis,81.58400726,22.715,65.5,0.241155404,1.5349,0.272865556,MAG
Dianthus seguieri,62.79189648,17.66,122.15,0.325397793,0.8899,0.230602452,MAG
Dianthus sylvestris,129.703,29.56626961,173.17,0.107461637,0.4395,0.24121974,MAG
Diapensia lapponica,130.0070748,13.55,11.77,0.032521387,0.12,0.27927,MAG
Dictamnus albus,47.96858833,30.49183409,910.82,0.779769241,14.8305,0.20591,MAG
Digitalis grandiflora,36.69815963,21.6,2932.91,0.659868513,0.1683,0.19019,MAG
Digitalis purpurea,57.33412461,37.8,32067.96,0.814149726,0.0798,0.218870559,MAG
Digitaria sanguinalis,27.69575597,13.145,504.81,0.264724619,0.5172,0.135142748,MAG
Dipsacus fullonum,53.83979876,13.78223494,14718.35,1.219838988,2.7233,0.183,MAG
Draba hispida,22.90950745,34.59,14.35,0.05,0.1,0.14827,MAG
Drosera rotundifolia,24.4458293,12.68845516,47.44,0.07657073,0.0129,0.16399,MAG
Echinochloa crus-galli,39.23528629,16.1208398,2226.99,0.580137363,1.5232,0.200953587,MAG
Echinops ritro,111.0095783,19.7596255,1779.04,0.5,16.7503,0.18960597,MAG
Echium plantagineum,61.1995104,16.98,3162,0.287204392,3.4524,0.1911,MAG
Echium vulgare,67.13767927,23.6,4523,0.511014401,2.8512,0.16923,MAG
Elaeagnus angustifolia,80.64516129,39.8,1120,13.56159454,96.509,0.47737865,MAG
Eleocharis palustris,75.14636053,19.44824689,276.77,0.316957244,0.833,0.18917,MAG
Eleusine indica,37.57606538,26.48464097,769.08,0.302892616,0.3668,0.205468796,MAG
Elymus athericus,128.579005,15,316,0.812132034,4.625,0.410999234,MAG
Elymus caninus,35.99269809,38,1140.7,0.84662304,3.684,0.275327762,MAG
Elymus repens,47.32494786,26.4533809,980.81,0.571625874,2.3627,0.271473942,MAG
Epilobium angustifolium,56.70779547,28.6675871,2207.76,0.831719514,0.0655,0.255211999,MAG
Epilobium brachycarpum,46.2962963,30.48,59,0.28,0.3152,0.18495,MAG
Epilobium fleischeri,80.04,14.6423612,63.43,0.277190819,0.1456,0.207338424,MAG
Epilobium hirsutum,36.21017492,30.001037,1147.99,1.150790412,0.1147,0.20067,MAG
Epilobium palustre,26.93059871,15.08,299.58,0.270420197,0.0639,0.1274825,MAG
Epilobium parviflorum,33.43722515,24.81,769.05,0.493561511,0.0797,0.177697057,MAG
Epipactis atrorubens,38.41462852,36.77,1177.63,0.392975612,0.01,0.197848077,MAG
Epipactis helleborine,33.33204493,34.32843112,1616.85,0.504790899,0.004,0.139027476,MAG
Equisetum arvense,72.6147021,20.03828835,112.82,0.348986214,2.2e-5,0.2,MAG
Equisetum fluviatile,72.64854275,14.83,156.54,0.9408993,2.2e-5,0.2,MAG
Equisetum palustre,102.0866526,29.20183436,65.3,0.330790674,2.2e-5,0.2,MAG
Equisetum sylvaticum,41.97314269,21.80342906,231.2,0.269878191,2.2e-5,0.2,MAG
Eragrostis cilianensis,40.7000407,23.17429143,94.11,0.221633635,0.07,0.275133333,MAG
Eragrostis mexicana,24.03846154,23.14,440,0.24,0.1029,0.24245,MAG
Eragrostis minor,29.06874335,18.4,113.11,0.179482292,0.08,0.204417003,MAG
Erica tetralix,102.9029688,11.34684058,3.97,0.334395295,0.0108,0.575856317,MAG
Erigeron alpinus,55.30973451,23.38,269.68,0.117838782,0.23,0.21115,MAG
Erigeron annuus,41.8190463,13.80846882,771.09,0.747280054,0.0323,0.236383316,MAG
Erigeron canadensis,52.83445519,26.57768565,290.83,0.374494241,0.0508,0.216870042,MAG
Erigeron karvinskianus,31.917,23.03867684,217.45,0.35,0.04,0.196487956,MAG
Erigeron strigosus,39.94543459,22.84659712,315.67,0.599272266,0.1561,0.365871272,MAG
Erigeron uniflorus,44.61550546,33.05,92.31,0.052772657,0.18,0.191545588,MAG
Eriobotrya japonica,193.834234,13.93453698,12693.05,6.082201996,1443.8032,0.695701085,MAG
Eriophorum angustifolium,113.7435365,19.2332864,1159.4,0.280294636,0.4922,0.292650778,MAG
Eriophorum vaginatum,151.1320811,17.56516811,281.02,0.424264069,0.8501,0.297473902,MAG
Erodium cicutarium,44.60191627,27.4932548,220.59,0.108083519,1.7063,0.204167015,MAG
Erodium glaucophyllum,116.7074973,23.51910015,276.1,0.330638646,1.38,0.200987261,MAG
Eruca vesicaria,58.05948815,30.19718763,359.41,0.313613634,1.0319,0.163644186,MAG
Eryngium campestre,122.9002462,20.97237048,15555.78,0.282848442,1.3639,0.225695231,MAG
Erythronium dens-canis,51.941,32.83637329,2122.51,0.3,3.77,0.125622944,MAG
Eucalyptus camaldulensis,233.6448598,26.5,1303,38.24656847,0.8796,0.771963071,MAG
Eucalyptus viminalis,152.6201191,16.2408605,1549.46,17.70402803,2.0336,0.662228214,MAG
Euonymus europaeus,73.01943408,24.7807551,1953.44,3.482470023,37.6394,0.582258338,MAG
Eupatorium cannabinum,41.87370289,19.7860936,1414.15,0.594171289,0.3077,0.254673072,MAG
Euphorbia amygdaloides,41.59733777,28.07850667,312.75,0.405689613,3.6339,0.24259,MAG
Euphorbia cyparissias,36.40015527,24.2,52.3,0.193366393,2.1596,0.33609,MAG
Euphorbia dulcis,30.05710851,40.95841163,420,0.310208909,2.115,0.21639,MAG
Euphorbia falcata,33.859,49.80850866,56.57,0.209127911,1.4597,0.231846952,MAG
Euphorbia flavicoma,36.48806781,25.99877237,82.41,0.160643867,1.18,0.23648259,MAG
Euphorbia helioscopia,29.39852076,16.6,333.71,0.1900857,2.1893,0.196771438,MAG
Euphorbia maculata,35.58632725,28.85908685,24.47,0.107721735,0.1717,0.193424652,MAG
Euphorbia nutans,71.00716025,16.61,116.94,0.35,0.425,0.38407,MAG
Euphorbia peplus,25.32776436,20.02554755,79,0.189250603,0.5429,0.18495,MAG
Euphorbia variabilis,43.705,22.04926348,210.53,0.288449914,3.66,0.231880488,MAG
Euphrasia frigida,44.76639158,53.7666615,31.63,0.034782811,0.2687,0.34739,MAG
Euphrasia minima,43.91226608,26.86,33.66,0.1,0.18,0.185989616,MAG
Euthamia graminifolia,52.20342035,18.1991444,403.89,0.746883555,0.0657,0.285845646,MAG
Fagus sylvatica,65.36699387,22.27018334,2061.6,31.47720679,186.9854,0.681382506,MAG
Fallopia convolvulus,30.89808055,17.39549942,619.98,0.659549499,3.9717,0.189800243,MAG
Festuca altissima,35.55141252,22.66424796,2403.5,0.789952623,0.6404,0.22469,MAG
Festuca filiformis,67.10182726,8.819283551,196.25,0.312503328,0.3295,0.173423096,MAG
Festuca halleri,101.87,12.76673015,22.2,0.117202386,1.24,0.366573752,MAG
Festuca heterophylla,33.015,27.99743392,284.87,0.566275069,1.3846,0.20201936,MAG
Festuca nigrescens,63.88353153,14.2102076,106.68,0.33179064,0.9107,0.381985,MAG
Festuca ovina,75.9302485,15.30030876,46.17,0.249196954,0.438,0.431675,MAG
Festuca rubra,74.98776021,16.1784374,305.76,0.356894185,0.8264,0.275943557,MAG
Festuca varia,168.42275,16.56716906,384.51,0.306789622,1.1556,0.372016304,MAG
Filipendula ulmaria,41.81002442,28.39328018,1723.47,0.806691796,0.7452,0.267246119,MAG
Filipendula vulgaris,57.01830859,18.1479171,167.18,0.401935583,0.7659,0.3874,MAG
Fragaria vesca,45.25659016,18.41902786,1112.11,0.113880257,0.3229,0.26,MAG
Fragaria virginiana,61.38487072,14.74564927,1285.81,0.106933128,0.4771,0.342589642,MAG
Fragaria viridis,60.11704567,16.30337792,558.82,0.085926328,0.4729,0.2418,MAG
Frangula alnus,29.4082026,28.64792194,1563.94,3.539464314,17.2032,0.416501047,MAG
Fraxinus angustifolia,73.24357324,26.19712335,1508.5,13.07750171,64.5884,0.506243263,MAG
Fraxinus excelsior,75.23566573,21.34877418,1683.18,23.11558894,56.7064,0.666850281,MAG
Fraxinus mandshurica,72.04610951,21.76264019,9500,28.43966497,63.5928,0.545416454,MAG
Fraxinus pennsylvanica,87.71929825,16.77915243,4034.27,23.15992927,34.9339,0.579223618,MAG
Fumana thymifolia,122.133,9.23,4.2,0.344202546,1.4164,0.33,MAG
Fumaria officinalis,37.82828612,49.3,230.64,0.252605022,3.1622,0.16399,MAG
Gagea serotina,123.1367092,22.6,173.01,0.082425706,0.51,0.13589,MAG
Galatella linosyris,87.41258741,23.2212133,67.75,0.24242416,1.34,0.22163,MAG
Galeopsis segetum,25.59671654,41.08855603,1167.16,0.265384261,1.25,0.16399,MAG
Galeopsis speciosa,26.7611664,32.65,3066,0.578493528,4.0935,0.214437665,MAG
Galeopsis tetrahit,31.69540784,30.85,856.55,0.365548726,4.2745,0.16068522,MAG
Galinsoga quadriradiata,23.91577236,32.06647956,623.92,0.499159631,0.2355,0.158533611,MAG
Galium aparine,25.91241419,25.66632034,159.05,0.389570305,7.7522,0.168868887,MAG
Galium boreale,43.96211226,19.59640062,81.52,0.387324197,0.7054,0.304994,MAG
Galium lucidum,24.503,25.92789344,42.59,0.385564426,0.84,0.198499068,MAG
Galium lucidum subsp. corrudifolium,67.9913651,16.98987395,8,0.148418192,0.7339,0.203956004,MAG
Galium mollugo,33.24030248,28.79523755,178.02,0.334989565,0.6288,0.1857511,MAG
Galium odoratum,24.26489667,24.20929671,192.41,0.266752948,5.837,0.134907376,MAG
Galium saxatile,40.76158275,25.1,32,0.12933336,0.5872,0.191920787,MAG
Galium sylvaticum,17.91151711,36.72776704,173.25,0.608151999,1.3,0.18495,MAG
Galium uliginosum,32.42961791,17.26,47.83,0.269632034,0.0932,0.22998,MAG
Galium verum,53.44115339,20.47711789,23.31,0.33487769,0.4784,0.3551,MAG
Genista hispanica,51.33668577,30.10772101,16.94,0.286064192,3.1875,0.39,MAG
Genista tinctoria,55.92859616,31.28629954,119.53,0.444937379,3.9643,0.21373,MAG
Gentiana acaulis,76.35111381,13.74474622,297.8,0.061621435,0.422,0.2349658,MAG
Gentiana asclepiadea,43.32755633,42.39530513,456.5,0.504277845,0.1066,0.23211,MAG
Gentiana clusii,99.039,12.19254929,692.48,0.057660211,0.44,0.213785196,MAG
Gentiana lutea,72.05330555,23.4,21682.23,0.758131819,1.1837,0.19584,MAG
Gentiana punctata,48.861,9.644086681,3224.08,0.35356772,0.6475,0.185220908,MAG
Gentiana purpurea,61.331,32.19509153,2481.14,0.397905721,0.48,0.215959272,MAG
Gentiana verna,65.15275757,15.90301858,111.14,0.058086556,0.0681,0.21639,MAG
Gentianella amarella,43.06186578,21.10955482,3497,0.167462306,0.1451,0.20591,MAG
Gentianella campestris,26.36170774,21.83,32,0.127154039,0.1871,0.1442,MAG
Geranium molle,39.31326683,24.4198553,349.91,0.188734888,1.096,0.190092863,MAG
Geranium nodosum,23.504,19.56367703,7445.2,0.225923263,5.8055,0.19243796,MAG
Geranium pratense,48.95940698,31.97273839,8435.28,0.417477223,7.9209,0.215360385,MAG
Geranium robertianum,30.52042154,25.76819745,1068.65,0.275862998,1.1985,0.190092863,MAG
Geranium rotundifolium,25.87642671,20.1,997.4,0.189521928,1.8325,0.21639,MAG
Geranium sanguineum,45.80066897,18.63496713,1135.34,0.265787329,8.5404,0.319714,MAG
Geranium sylvaticum,42.27386801,25.18527871,1705.79,0.284247661,5.9083,0.218340517,MAG
Geum montanum,78.36315055,23.40083332,628.3,0.134236348,1.74,0.24020318,MAG
Geum reptans,101.1680409,25.9,535.32,0.068361134,0.84,0.239520932,MAG
Geum rivale,46.53967822,27.59338568,6729.58,0.465785296,1.0058,0.233044094,MAG
Geum urbanum,34.10419991,14.66704628,3523.42,0.443490474,1.4941,0.279643905,MAG
Gladiolus palustris,61.133,22.14004329,1614.69,0.383663895,2.1701,0.203691464,MAG
Glechoma hederacea,28.37546246,32.0761659,492.81,0.195041221,0.604,0.14847696,MAG
Gleditsia triacanthos,40.30551582,26.31,12553.43,25.37364623,157.2244,0.680394781,MAG
Globularia cordifolia,160.4290565,15.13223213,43.85,0.046439844,0.5833,0.25760835,MAG
Globularia nudicaulis,69.935,14.41093429,734.35,0.100538531,0.72,0.223095104,MAG
Globularia vulgaris,122.0536837,16.175,164.02,0.17752763,0.4439,0.233903128,MAG
Glyceria fluitans,27.77106627,27.83233131,1121.9,0.571843445,1.1925,0.235489384,MAG
Glyceria maxima,55.32090451,21.95628046,6949.31,1.394389256,0.3102,0.233286158,MAG
Gnaphalium supinum,37.03703704,22.46,35.05,0.04472136,0.0794,0.19019,MAG
Gnaphalium sylvaticum,35.07282542,15.5,316,0.313830215,0.0363,0.19543,MAG
Groenlandia densa,10.01430306,31.20731333,54.43,0.397535918,2.2051,0.186184577,MAG
Gymnadenia conopsea,55.63764342,28.85,1263.02,0.374572502,0.0056,0.124552141,MAG
Hedera helix,88.40728659,15.29546452,1521.63,5.02049549,20.3584,0.3,MAG
Helianthemum apenninum,79.63779572,19.12744105,30.32,0.151155634,1.1529,0.257899779,MAG
Helianthemum nummularium,65.65578862,23.04171157,80.5,0.108671312,0.9675,0.237925978,MAG
Helianthemum oelandicum,88.98938173,22.07166993,15.28,0.09435388,0.5384,0.254933344,MAG
Helianthus annuus,61.47736958,27.46270198,10901,2.029341202,37.8335,0.16399,MAG
Helianthus tuberosus,37.98010412,32.88198194,19578.5,1.817837195,3.5687,0.151102981,MAG
Helichrysum arenarium,55.34034311,17.3,404.5,0.1900857,0.07,0.21115,MAG
Helleborus foetidus,82.26976932,16.6,8703.22,0.386979941,11.3699,0.185711046,MAG
Helleborus niger,88.706,17.65141221,22562.41,0.214722917,7.6698,0.216092368,MAG
Hepatica nobilis,36.19233557,18.83737907,2884.51,0.100070617,2.9335,0.200996482,MAG
Heracleum sphondylium,48.99557896,35.13715982,13130.08,0.997846258,6.569,0.22696,MAG
Herniaria glabra,73.27603602,20.7,6.14,0.109911349,0.0755,0.19543,MAG
Hesperis matronalis,33.30007325,33.74,1144.01,0.57998011,2.3716,0.169967379,MAG
Hieracium laevigatum,44.29895312,28.21,1191.96,0.543434199,0.3531,0.17447,MAG
Hieracium porrifolium,67.311,23.41575817,401.29,0.327106631,0.64,0.19761246,MAG
Hieracium prenanthoides,45.57885141,25.66,939.19,0.570913338,0.7,0.20591,MAG
Hieracium racemosum,29.51,32.25652848,1926.53,0.232608651,0.31,0.178255376,MAG
Hieracium sabaudum,21.94426158,17.95817907,1637,0.868381953,0.3963,0.15351,MAG
Hieracium umbellatum,48.90264277,23.29357944,737.05,0.456239869,0.3877,0.3251,MAG
Hippocrepis emerus,25.82644628,42.41636937,167.08,1.574349177,6.1096,0.39,MAG
Hippuris vulgaris,18.97671386,27.67956159,48.65,0.299908453,0.8643,0.153937802,MAG
Holcus lanatus,32.16077377,22.23055238,650.81,0.335997782,0.3227,0.20340364,MAG
Holcus mollis,25.91649988,30.83545478,775.13,0.409738213,0.3191,0.16,MAG
Homogyne alpina,60.09615385,23.01994739,721.75,0.104532109,0.6302,0.15875,MAG
Honckenya peploides,62.10209588,20.93,39.16,0.103713729,3.358,0.179271039,MAG
Hordelymus europaeus,28.07907781,29.81878,2644.03,0.872031045,5.4569,0.175336932,MAG
Hordeum jubatum,38.75092149,22.54,181,0.411953429,1.6304,0.21972608,MAG
Hordeum murinum,31.46200491,29.56568957,306.17,0.3212861,4.9408,0.190457155,MAG
Horminum pyrenaicum,56.969,26.1643713,1991.77,0.120871606,1.77,0.194752468,MAG
Hottonia palustris,16.47410304,19.83944667,199.25,0.220403514,0.1342,0.142564587,MAG
Hyacinthoides non-scripta,45.75592966,31.95,3285.75,0.210193384,5.9027,0.07698541,MAG
Hydrocharis morsus-ranae,27.19720221,28.80840667,1221.98,0.047559756,0.085,0.106875409,MAG
Hydrocotyle vulgaris,35.21115945,20.35952225,469.58,0.078112819,0.3396,0.155569658,MAG
Hyoscyamus niger,22.31928893,54,5628.32,0.450303919,0.7126,0.15875,MAG
Hyparrhenia hirta,78.064,13.69415934,147.97,0.330975092,0.76,0.324812,MAG
Hypericum humifusum,44.34257136,18.76216777,42.15,0.083492229,0.0402,0.236961318,MAG
Hypericum linarioides,52.26529439,21.03,69.05,0.16,0.15,0.22687,MAG
Hypericum maculatum,38.66957596,27.85244761,731,0.407575927,0.0544,0.262729241,MAG
Hypericum montanum,40.6504065,20.5965669,444,0.395950377,0.0601,0.23735,MAG
Hypericum perforatum,40.26492824,22.3,127.63,0.456512612,0.1,0.244463449,MAG
Hypochaeris radicata,36.07661915,16.07426785,993.64,0.227651674,0.757,0.14303,MAG
Ilex aquifolium,150.3034868,14.9678963,1540.35,6.343767334,29.9253,0.623323416,MAG
Impatiens balfourii,19.833,31.7061652,4569.91,0.726848237,3.64,0.148132712,MAG
Impatiens capensis,19.52264478,24.76651771,1858.38,1.304910592,5.8343,0.146528876,MAG
Impatiens noli-tangere,22.19853491,39.8,1577.97,0.584852655,5.5387,0.16923,MAG
Impatiens parviflora,9.005042998,17.7,3252.8,0.607555773,7.2428,0.13255,MAG
Inula britannica,45.66575727,23.84762077,1588.01,0.388840349,0.1095,0.17971,MAG
Inula hirta,61.25667658,28.2,550,0.261912048,0.4338,0.249533524,MAG
Inula montana,84.29678304,22.2,446,0.193014702,0.2354,0.246745582,MAG
Iris pseudacorus,61.28252569,15,20414.71,0.786859791,47.4565,0.159351921,MAG
Jacobaea incana,87.21502674,20.4,171.73,0.081903626,1.1065,0.21161112,MAG
Jacobaea vulgaris,38.34779588,20.08184394,4456.62,0.542798928,0.1949,0.28985,MAG
Jasione montana,27.48007694,26.18125103,36.5,0.197697094,0.0222,0.20591,MAG
Juglans nigra,46.3107759,23.64057395,4200,28.67274947,10215.6761,0.56,MAG
Juglans regia,71.37553702,21.12573515,3742.83,19.62400375,8495.0278,0.522996786,MAG
Juncus articulatus,75.95749278,19.40493573,198.16,0.273032006,0.015,0.285748834,MAG
Juncus bufonius,53.26954996,14.86,74.9,0.145091171,0.0197,0.17608,MAG
Juncus bulbosus,48.40507181,13.67278333,56.94,0.100948124,0.0157,0.216196856,MAG
Juncus effusus,167.7669431,13.57264734,1402,0.761216973,0.0166,0.09,MAG
Juncus filiformis,101.9596999,26.12952428,612.5,0.297246775,0.0225,0.251837492,MAG
Juncus squarrosus,171.5265866,12.96815479,66.75,0.222738802,0.0653,0.34901,MAG
Juncus subnodulosus,143.8886652,15.89339485,1060.92,0.73721411,0.01,0.2,MAG
Juncus tenuis,71.74720755,14.2,276.5,0.3206202,0.0135,0.182040692,MAG
Juniperus communis,113.2400577,11.44467354,20.68,3.041436552,11.7085,0.561974324,MAG
Juniperus oxycedrus,186.2271091,9.6438477,17.49,5.642968006,68.7547,0.699073604,MAG
Juniperus phoenicea,170.7031542,8.344691294,5,3.960057326,50.5158,0.720271246,MAG
Juniperus virginiana,559.5554082,14.71820742,28.57,22.42151877,11.0504,0.49,MAG
Kernera saxatilis,39.76380908,32.86713692,43,0.128489829,0.1449,0.176306882,MAG
Kickxia spuria,37.06210676,21.49441555,1102,0.226139144,0.373,0.185711046,MAG
Knautia arvensis,50.80559788,26.41989829,2463.48,0.441219254,3.7603,0.181031903,MAG
Knautia drymeia,45.717,30.76589913,2662.61,0.515566063,2.6,0.176656652,MAG
Knautia transalpina,67.848,20.20102931,2874.31,0.39842826,3.52,0.188978512,MAG
Knautia velutina,54.588,24.6419563,4366.4,0.363424119,2.53,0.175026488,MAG
Koeleria glauca,76.3639347,21.4,148.25,0.106167059,0.17,0.32237,MAG
Koeleria macrantha,85.65827466,18.41431497,344.5,0.207466891,0.6827,0.23,MAG
Koeleria vallesiana,79.63893382,19.71816868,76.49,0.112063846,0.4248,0.305490195,MAG
Lactuca serriola,71.41914153,30.26382538,739.5,0.969767455,0.4366,0.187089617,MAG
Lactuca tatarica,55.86592179,22.6,1338.5,0.499168434,0.91,0.17971,MAG
Lamium album,28.46907154,42.29514866,1886.27,0.318737764,1.3798,0.180765865,MAG
Lamium amplexicaule,44.48207268,29.56738977,206.89,0.185636609,0.5471,0.16399,MAG
Lamium galeobdolon,31.35603129,31.4688494,1564,0.348943387,2.0173,0.165227116,MAG
Lamium maculatum,31.58309537,31.5045711,1349.61,0.354265252,1.4391,0.2,MAG
Lamium purpureum,28.83486686,21.98148089,477.13,0.214286948,0.7337,0.166337209,MAG
Lantana camara,44.23117939,25.32182146,1042.65,2.785433601,8.0096,0.33,MAG
Laphangium luteoalbum,39.49452243,29.69182259,101.38,0.204599113,0.0119,0.192490826,MAG
Lapsana communis,18.99469274,39.25787926,4939.85,0.555453917,0.8582,0.158531286,MAG
Larix decidua,104.3309472,19.85139403,19.65,34.89266853,6.4868,0.528806131,MAG
Larix gmelinii,96.70980886,16.62953831,50,39.96909337,3.4783,0.551296904,MAG
Larix kaempferi,63.03288599,16.29470733,52.5,31.12726824,4.1567,0.43,MAG
Larix laricina,93.58054548,15.28582255,33,23.39932727,1.5223,0.559910707,MAG
Laserpitium latifolium,72.86114131,26.06826342,20097.5,0.796697929,7.8027,0.26748,MAG
Laserpitium nitidum,68.147,27.22441508,7290.41,0.471769398,4.9242,0.220653788,MAG
Lathyrus linifolius,41.69095444,36.89541442,203.39,0.243377012,13.4873,0.2822,MAG
Lathyrus pratensis,39.19587517,36.09389375,615.86,0.364590827,11.5462,0.253456325,MAG
Lathyrus vernus,24.51121458,38.62895141,1503.5,0.269722403,15.3111,0.182190177,MAG
Laurus nobilis,117.7228884,15.1,1540,10.92338522,367.7697,0.67,MAG
Legousia speculum-veneris,22.18350945,19.17367101,103.75,0.18187301,0.1898,0.164465006,MAG
Leontodon hispidus,39.37610737,22.87535423,1629.48,0.219332842,1.0346,0.19342,MAG
Lepidium densiflorum,22.77709336,28.59006471,187.22,0.281370652,0.3393,0.158285653,MAG
Lepidium latifolium,65.62832765,41.700478940000004,3266.77,0.704953313,0.213,0.17971,MAG
Lepidium ruderale,50.09236732,40.2,63.91,0.153058236,0.1984,0.176708783,MAG
Lepidium virginicum,43.89815628,36.4832476,662.75,0.400295889,0.4832,0.18495,MAG
Leucanthemopsis alpina,65.95753194,23.6,35.44,0.053132928,0.37,0.18773768,MAG
Leucanthemum heterophyllum,42.312,25.42824114,857.23,0.509164337,0.5,0.159835728,MAG
Leucanthemum ircutianum,39.16170205,17.46,436.32,0.374534578,0.6,0.16923,MAG
Leucanthemum vulgare,68.01985526,21.98947787,428.43,0.365343087,0.4212,0.185264094,MAG
Leucojum vernum,30.70310101,32.22403711,3173.75,0.103822557,12.0394,0.07373,MAG
Ligustrum lucidum,111.45,14.364,2968.41,6.5382,22.0896,0.601951,MAG
Ligustrum sinense,57.24098454,22.79534505,278.28,5.646216173,16.0526,0.6,MAG
Ligustrum vulgare,88.99739709,17.34808536,548.28,3.34717851,14.8864,0.792895426,MAG
Lilium bulbiferum,54.25935974,29.67240734,461,0.710308278,7.4,0.12701,MAG
Lilium martagon,38.53998188,37.6,3363.28,0.583466558,5.8224,0.11813,MAG
Linaria alpina,46.14928851,23.8,14.27,0.063761943,0.27,0.187454196,MAG
Linaria dalmatica,68.49315068,20.13,430,0.6,0.14,0.29466485,MAG
Linaria purpurea,62.67618444,19.77749333,77,0.6,0.1398,0.19543,MAG
Linaria vulgaris,37.24115838,17.09356384,157.58,0.496891383,0.1551,0.195127626,MAG
Lindernia dubia,13.744,16.14985366,266.81,0.09085603,0.0045,0.140394804,MAG
Linnaea borealis,33.56212349,9.304296068,92.96,0.17717347,1.1894,0.22687,MAG
Linum catharticum,34.46549798,17.92856671,13.1,0.127726872,0.1456,0.288022798,MAG
Linum perenne,38.63987635,24.65,26.5,0.437458943,2.2346,0.20067,MAG
Linum tenuifolium,70.508,28.24854933,26.35,0.291731525,1.3518,0.258833476,MAG
Linum usitatissimum,26.84063561,46.33,40.82,0.445988354,5.0524,0.1952519,MAG
Liriodendron tulipifera,64.4806973,22.76006472,11022.1,49.78188453,34.8055,0.3591657,MAG
Littorella uniflora,67.61407333,30.05,94.05,0.088669184,0.815,0.146907408,MAG
Lobelia dortmanna,51.62622612,25,160.25,0.143740151,0.0431,0.13779,MAG
Lolium multiflorum,39.96456724,22.19923534,606,0.408692848,2.6332,0.216770525,MAG
Lolium perenne,39.51813361,27.04474261,468.92,0.271468513,1.8626,0.18794681,MAG
Lolium rigidum,47.64130577,19.63135388,4612.54,0.339252979,2.3252,0.33522,MAG
Lomelosia caucasica,82.03445447,21.81,900.16,0.76,5.0004,0.19543,MAG
Lonicera caprifolium,53.29079347,14.79952332,1630.11,4.458544192,8.04,0.224223263,MAG
Lonicera etrusca,66.5880608,18.21,514.17,0.936507747,6.85,0.23994618,MAG
Lonicera implexa,105.7144474,25.32745546,824.5,2.5,10.6629,0.282645127,MAG
Lonicera periclymenum,66.49167708,23.79038738,834.36,3.890878606,5.9154,0.24468477,MAG
Lotus corniculatus,44.05508698,33.12313536,128.72,0.241508476,1.3207,0.279011646,MAG
Lotus pedunculatus,35.98832605,31.00891581,317,0.381789619,0.5299,0.15195,MAG
Lupinus perennis,55.01359783,26.49842858,230.63,0.300262169,22.0805,0.144723314,MAG
Lupinus polyphyllus,41.66660813,32.93508767,1460.17,1.159253422,22.4556,0.165061863,MAG
Luzula alpinopilosa,58.99648637,29.8,384.35,0.181712059,0.2249,0.161827592,MAG
Luzula campestris,40.89820964,26.62836148,210.69,0.134395984,0.6205,0.206398667,MAG
Luzula forsteri,46.42,20.32234774,338.56,0.175978418,1.1846,0.236537696,MAG
Luzula multiflora,41.71067889,24.34201885,203.67,0.187583374,0.5886,0.23475,MAG
Luzula nivea,40.205,24.85599149,588.87,0.616224015,0.48,0.231667904,MAG
Luzula pilosa,38.41320963,18.94938587,669.48,0.265702466,1.0339,0.203326591,MAG
Luzula spicata,103.9725819,22.59,34.85,0.145595309,0.2907,0.268437494,MAG
Luzula sudetica,31.39399683,32.10920452,243.2,0.164563987,0.2998,0.168058236,MAG
Lycopus europaeus,35.40779293,21.65397951,524.64,0.624969147,0.2649,0.194394912,MAG
Lysimachia europaea,26.35755995,20.37131792,176.49,0.097116897,0.6194,0.226469931,MAG
Lysimachia maritima,58.28274302,21.20834964,39.57,0.116748461,0.3888,0.182449009,MAG
