trait,predictor,obs_mean,gap_mean,mean_diff_pct,obs_median,gap_median,ks_statistic,ks_pvalue,distributions_similar
logLA,wc2_1_30s_bio_1_q50,13.012128683288049,12.58685346357533,-3.2682986009730657,12.1875,13.175000190734863,0.080910225153338,6.626954578818708e-17,No
logLA,wc2_1_30s_bio_12_q50,1045.4840496657116,906.1802046194389,-13.324339581346502,870.0,784.0,0.09381209935096652,1.393197775002024e-22,No
logLA,phh2o_0_5cm_q50,5.952626552053486,6.206581395348837,4.266265338075743,5.8,6.1,0.16550320961329157,1.4969127805542545e-69,No
logLA,soc_0_5cm_q50,68.32799426934098,65.37020155038759,-4.328815371477336,63.0,59.575,0.05596810377379445,2.595506505306637e-08,No
logLA,wc2_1_30s_elev_q50,425.42683858643744,494.72492636800496,16.28907287838815,190.0,226.5,0.09216379089919942,8.247396807062264e-22,No
logNmass,wc2_1_30s_bio_1_q50,13.167843372865745,12.567273182714166,-4.560884976723989,12.661458253860474,12.829166650772095,0.10081890177093673,5.7364647088724875e-24,No
logNmass,wc2_1_30s_bio_12_q50,1041.3035714285713,929.4588707554619,-10.740835212892712,855.0,804.25,0.07117410133164098,3.720477667912696e-12,No
logNmass,phh2o_0_5cm_q50,6.000501467710372,6.142477293668554,2.3660660150185144,5.9,6.1,0.09151941478598902,8.037288495688921e-20,No
logNmass,soc_0_5cm_q50,64.83540851272016,67.69615637751744,4.412323343711208,61.2,61.2,0.05384576695868464,3.8468880457970394e-07,No
logNmass,wc2_1_30s_elev_q50,471.39885029354207,459.52902079494606,-2.518001367887217,211.0,204.5,0.06070077664891729,5.855920074970059e-09,No
logLDMC,wc2_1_30s_bio_1_q50,11.322718382338156,13.252887376835,17.046869217445483,10.087499618530272,13.81666660308838,0.17362586117416706,1.314176848292015e-57,No
logLDMC,wc2_1_30s_bio_12_q50,914.4737756165335,986.2731350062451,7.851439954229936,811.0,822.5,0.11871268366880951,4.3121175607047e-27,No
logLDMC,phh2o_0_5cm_q50,5.973150399444251,6.131927095162389,2.6581734110179203,5.9,6.1,0.13624137825760121,1.4371721566439327e-35,No
logLDMC,soc_0_5cm_q50,70.07368878082669,65.59081308198955,-6.397373645989252,67.75,59.375,0.1221014564495757,1.2250241727485935e-28,No
logLDMC,wc2_1_30s_elev_q50,395.07728377908995,486.10792551379586,23.04122395090837,180.0,224.5,0.13856979234325786,8.746235850915707e-37,No
logSLA,wc2_1_30s_bio_1_q50,12.646176148560588,12.895213003410873,1.9692660605445613,12.024999618530272,13.443749904632568,0.05639526617763349,1.690733639420659e-08,No
logSLA,wc2_1_30s_bio_12_q50,999.5563291139241,940.7620207927225,-5.8820405222506,842.0,803.0,0.07024106210204367,6.031998501868284e-13,No
logSLA,phh2o_0_5cm_q50,6.001853526220615,6.174524776604388,2.876965417923223,5.9,6.1,0.1113894670969808,6.346610897129593e-32,No
logSLA,soc_0_5cm_q50,67.58322784810126,65.89757920389927,-2.494181911510088,62.375,60.1,0.04082627364512011,0.00011674084223208712,No
logSLA,wc2_1_30s_elev_q50,439.9615732368897,484.9890350877193,10.234407864203478,198.5,219.0,0.07491302094899696,1.1485433380186615e-14,No
logH,wc2_1_30s_bio_1_q50,13.188008864406347,11.391383540963748,-13.623173459426347,13.579166889190674,10.579166412353516,0.1346742076571495,4.891136557691596e-33,No
logH,wc2_1_30s_bio_12_q50,999.5941763727121,863.9221265443654,-13.572713110501317,850.0,728.5,0.13727343648933213,2.592377160662035e-34,No
logH,phh2o_0_5cm_q50,6.027720465890184,6.3125655430711625,4.725585381619258,5.9,6.3,0.19803822592807244,3.5998156975112476e-71,No
logH,soc_0_5cm_q50,66.48403216860788,67.4087265917603,1.390851897802063,60.7,62.575,0.04472695320533194,0.0005074262125143804,No
logH,wc2_1_30s_elev_q50,434.3371602884082,562.7220142268814,29.5588003230539,195.0,274.0,0.13483966258656638,4.0719532855933864e-33,No
logSM,wc2_1_30s_bio_1_q50,13.599167143900752,11.188629520133986,-17.72562685831754,13.903124809265137,10.651041507720945,0.14146732346159502,2.812840101365836e-46,No
logSM,wc2_1_30s_bio_12_q50,976.5739418332901,953.1388052208836,-2.3997298728258594,838.0,782.0,0.07344399670872533,9.143741442608867e-13,No
logSM,phh2o_0_5cm_q50,6.049915606336016,6.175746924428823,2.079885510485869,5.95,6.1,0.09975005432396958,3.447036189668753e-23,No
logSM,soc_0_5cm_q50,63.993553622435726,71.91978408234999,12.385982667378205,58.3,66.1,0.13544137499981257,1.9486958104208915e-42,No
logSM,wc2_1_30s_elev_q50,404.24227473383536,578.5908634538152,43.12972680424777,190.0,268.5,0.14942612569206976,1.345516907306985e-51,No
