submodel,AIC,BIC,AIC_sum,BIC_sum
y|parents,2797.5914036091235,2819.9376551931023,6480.105502645345,6533.736506446894
LES|parents,2099.920672560984,2117.797673828167,6480.105502645345,6533.736506446894
SIZE|parents,1582.5934264752377,1596.001177425625,6480.105502645345,6533.736506446894
