cluster,n_features,total_Gain,mean_Gain
Other,15,0.560425854915498,0.0373617236610332
TRY Categorical,30,0.529347565426467,0.0176449188475489
Environmental,136,0.0105036862937303,7.72329874538991e-05
Phylogenetic,4,1.12658479381478e-06,2.81646198453694e-07
