category,total_shap,num_features,avg_shap,pct_importance,axis,axis_name
Climate,0.89621104022,368,0.002435356087554348,24.792938263363016,L,Light
Soil,0.80547636537,168,0.004794502174821429,22.282838419747893,L,Light
Cross-axis EIVE,0.5322736539999999,4,0.13306841349999998,14.724911042824429,L,Light
Log traits,0.4681750127,6,0.07802916878333334,12.951675069156622,L,Light
Phylo eigenvectors,0.40563101257,92,0.004409032745326087,11.221446959507126,L,Light
Cross-axis phylo,0.28430471,5,0.056860942000000005,7.8650550000845945,L,Light
Other,0.22271169994,88,0.0025308147720454546,6.161135245316326,L,Light
Climate,2.050094161083,368,0.005570908046421195,59.93390255705139,T,Temperature
Soil,0.52405378664,168,0.0031193677776190478,15.320559015954366,T,Temperature
Other,0.2396119616,88,0.0027228632,7.004985541957712,T,Temperature
Cross-axis EIVE,0.22285117100000001,4,0.055712792750000004,6.514988736118863,T,Temperature
Phylo eigenvectors,0.18977030738,92,0.0020627207323913044,5.547879373855811,T,Temperature
Cross-axis phylo,0.0991312303,5,0.01982624606,2.8980724934225495,T,Temperature
Log traits,0.09507919,6,0.015846531666666667,2.7796122816393245,T,Temperature
Soil,1.12986051213,168,0.00672536019125,30.192580911410783,M,Moisture
Climate,0.7871331862,368,0.0021389488755434783,21.03408532049453,M,Moisture
Cross-axis EIVE,0.55396853,4,0.1384921325,14.803366862400669,M,Moisture
Phylo eigenvectors,0.41500176675,92,0.004510888769021739,11.089841875574919,M,Moisture
Cross-axis phylo,0.39109925160000003,5,0.07821985032,10.451109381692028,M,Moisture
Other,0.24477599143,88,0.0027815453571590908,6.541001165257766,M,Moisture
Log traits,0.220340059,6,0.036723343166666665,5.888014483169302,M,Moisture
Climate,1.137095400712,368,0.0030899331541086954,24.39580968440493,N,Nitrogen
Log traits,1.003755665,6,0.16729261083333333,21.535072745567643,N,Nitrogen
Cross-axis EIVE,0.752198167,4,0.18804954175,16.138033198973417,N,Nitrogen
Soil,0.70135266725,168,0.004174718257440476,15.047168585122407,N,Nitrogen
Phylo eigenvectors,0.43304130604,92,0.004706970717826087,9.290683333186491,N,Nitrogen
Cross-axis phylo,0.3279139983,5,0.06558279966,7.035229841198899,N,Nitrogen
Other,0.30567030584,88,0.0034735262027272727,6.558002611546218,N,Nitrogen
Soil,1.3622164121,168,0.008108431024404762,31.991138841261126,R,Reaction (pH)
Climate,1.322840042715,368,0.0035946740291168478,31.06639965234006,R,Reaction (pH)
Other,0.41456451916,88,0.004710960445,9.73589142907392,R,Reaction (pH)
Phylo eigenvectors,0.40437774256,92,0.004395410245217391,9.496658821346692,R,Reaction (pH)
Cross-axis EIVE,0.398216084,4,0.099554021,9.351954593197272,R,Reaction (pH)
Cross-axis phylo,0.1868808464,5,0.037376169279999996,4.388826217956264,R,Reaction (pH)
Log traits,0.16900975799999998,6,0.028168292999999997,3.969130444824673,R,Reaction (pH)
