SpeciesName
Catagoniopsis
Erinaceus
Eleocharis
Prosopis
Chromolaena laevigata
Pieris
Agathis
Gypsophila
Cajanus cajan
Pinus kesiya langbianensis
Musanga cecropioides
Gmelina arborea
Tectona grandis
Diospyros kaki
Cordia alliodora
Ficus benjamina
Handroanthus heptaphyllus
Taxodium mucronatum
Pinus kesiya kesiya
Leucaena
Pinus caribaea
Toona ciliata
Prunus
Euonymus europaeus
Leucaena leucocephala
Citrus
Malus
Juglans
Elaeis guineensis
Quercus
Acer
Eucalyptus
Eucalyptus globulus maidenii
Vachellia tortilis raddiana
Senegalia modesta
Acacia
Acacia auriculiformis
Piliostigma malabaricum
Pittosporum resiniferum
Euthamia caroliniana
Ilex cassine
Chrysopsis floridana highlandsensis
Condea verticillata
Ilex opaca arenicola
Salix caroliniana
Cartrema floridana
Rhus copallina
Phytolacca americana
Parthenocissus quinquefolia
Erechtites hieraciifolius
Phoradendron leucarpum
Iresine diffusa
Momordica charantia
Aralia spinosa
Rosa bracteata
Vaccinium myrsinites
Mangifera indica
Rhexia mariana
Hexasepalum teres
Ilex ambigua
Pluchea baccharis
Phyla nodiflora
Itea virginica
Lantana camara
Sphagneticola trilobata
Polanisia tenuifolia
Callicarpa americana
Sambucus canadensis
Crocanthemum corymbosum
Ilex opaca
Cantinoa mutabilis
Rhododendron
Asemeia grandiflora
Crocanthemum nashii
Scutellaria
Zephyranthes
Trichocephalus
Hymenolepis
Setaria
Filaria
Plukenetia
Diplodiscus
Digenea
Plantae
Biarum
Balbiania
Houttuynia
Pseudelephantopus
Diplospora
Romulea
Erica
Viguiera
Crinodendron
Sterculia
Tetramitus
Crocus minimus
Andersonia
Sparganum
Sarconema
Polypodium
Swertia
Monotrema
Micropleura
Leptotheca
Fridericia
Fimbriaria
Didymocystis
Agropyron
Plagioscyphus
Gloiosiphonia
Braunia
Parodia
Nymphaea mexicana
Uredo nidularii
Cephaleuros virescens
Odontochilus
Uredo longipedis
Uredo gynandrearum
Ceuthospora
Festuca
Ortachne
Cryptospora chilensis
Uredo cypericola
Clavaria
Uredo psychotriicola
Uredo anthurii
Chromolaena
Trichuriella
Desmodium sandwicense
Desmodium incanum
