cluster,n_features,total_Gain,mean_Gain
Other,10,0.475728540295155,0.0475728540295155
TRY Categorical,32,0.440750010275276,0.0137734378211024
Environmental,136,0.124908806769477,0.000918447108599095
Phylogenetic,4,1.16805414596633e-06,2.92013536491584e-07
