trait,observed,gaps_input,gaps_output,filled,pct_filled
logLA,5232,6448,0,6448,100.0
logNmass,4085,7595,0,7595,100.0
logLDMC,2876,8804,0,8804,100.0
logSLA,5524,6156,0,6156,100.0
logH,9009,2671,0,2671,100.0
logSM,7696,3984,0,3984,100.0
