submodel,AIC,BIC,AIC_sum,BIC_sum
y|parents,2826.050866347586,2843.915445244537,6504.91127835246,6554.038870319073
LES|parents,2096.299298731426,2114.1638776283767,6504.91127835246,6554.038870319073
SIZE|parents,1582.561113273447,1595.9595474461598,6504.91127835246,6554.038870319073
