trait,rmse_mean,rmse_median,rmse_sd,folds,nrounds,eta
leaf_area_mm2,0.6918320069398889,0.6361607588010131,0.14954726825211506,3,1000,0.1
seed_mass_mg,2.35455055352233,2.6300466063696897,0.7943355829741867,3,1000,0.1
