axis,full_r2,full_r2_sd,full_mae,full_acc1,no_eive_r2,no_eive_r2_sd,no_eive_mae,no_eive_acc1,r2_delta,r2_pct_change,mae_delta,acc1_delta
L,0.6640033868537472,0.02402310633414017,0.6540137685444075,90.38105937822309,0.6154716294292377,0.022464373540335394,0.6987506145426943,88.77538992611926,-0.048531757424509436,-7.308962331422415,0.044736845998286756,-1.6056694521038195
T,0.8230742082445156,0.016330458091418008,0.522272673790084,94.16398713826366,0.8069865500284921,0.01827684828073141,0.5447443857775716,93.36012861736336,-0.016087658216023537,-1.9545817442555897,0.02247171198748754,-0.8038585209003024
M,0.7036658172079221,0.022788369994599,0.627150748635709,90.9371282051282,0.6616788229473901,0.027900539616772673,0.682030384703459,89.19115384615385,-0.041986994260531985,-5.9668941184513296,0.05487963606775004,-1.745974358974356
N,0.6938344697585099,0.026289092066682694,0.809838883846397,85.31666666666666,0.6177246615930001,0.035786322091417674,0.9102311868191464,80.5,-0.07610980816550983,-10.969447538690309,0.10039230297274937,-4.8166666666666575
R,0.5062791050183072,0.036919266994492037,0.8247245425554752,83.57305582288048,0.4479814358605573,0.0303429882846376,0.8794362286326475,81.46220388101413,-0.05829766915774992,-11.514926960227177,0.05471168607717225,-2.110851941866332
