A,B,n,family,rho,loglik,AIC
L,M,1063,gaussian,-0.18438744387899225,18.38477956545315,-34.7695591309063
T,R,1049,gaussian,0.32823836213064267,59.791424545123974,-117.58284909024795
T,M,1064,gaussian,-0.3889920512403423,87.28325430275905,-172.5665086055181
M,R,1049,gaussian,-0.26894569413247166,39.37864472152039,-76.75728944304078
M,N,1046,gaussian,0.18304737335654778,17.82368144066858,-33.64736288133716
