group,A,B,n,rho_raw,rho_shrunk,rho_global,weight,tau_sample,tau_from_rho,tau_delta,rho_z
Pure_EM,T,R,28,0.32572093400402347,0.32768767472794474,0.32823836213064267,0.21875,0.13756613756613756,0.21253874122738517,-0.07497260366124761,0.32572093400402347
Pure_EM,L,M,35,-0.45705317164456294,-0.3251219940320022,-0.278946081867606,0.25925925925925924,-0.2739495798319328,-0.21081073468771233,-0.06313884514422047,-0.45705317164456294
Mixed_Uncertain,T,R,34,0.46430287525064246,0.3627621938178068,0.32823836213064267,0.2537313432835821,0.340463458110517,0.23633254463209852,0.10413091347841846,0.46430287525064246
Mixed_Uncertain,L,M,35,-0.048606776100854926,-0.21922848407622608,-0.278946081867606,0.25925925925925924,-0.03529411764705883,-0.1407080244998779,0.10541390685281907,-0.048606776100854926
Pure_NM,T,R,220,0.42469906793218,0.3945550973691996,0.32823836213064267,0.6875,0.3104192611041926,0.25820255017185145,0.05221671093234115,0.42469906793218
Pure_NM,L,M,222,-0.1653365436796365,-0.2006190089554034,-0.278946081867606,0.6894409937888198,-0.09901756960580492,-0.12859065908063583,0.029573089474830908,-0.1653365436796365
Low_Confidence,T,R,38,0.21380366839267187,0.29672735950714346,0.32823836213064267,0.2753623188405797,0.17496443812233284,0.1917905150532889,-0.016826076930956058,0.21380366839267187
Low_Confidence,L,M,38,-0.29464332259556125,-0.28326851047385454,-0.278946081867606,0.2753623188405797,-0.18918918918918917,-0.18283752100047823,-0.0063516681887109405,-0.29464332259556125
Facultative_AM_NM,T,R,416,0.2895884252406025,0.29707872308750954,0.32823836213064267,0.8062015503875969,0.19784522706209456,0.19202476284530254,0.005820464216792026,0.2895884252406025
Facultative_AM_NM,L,M,419,-0.3482075178410449,-0.33486234713325325,-0.278946081867606,0.8073217726396917,-0.24753628484315587,-0.21737963960789394,-0.03015664523526193,-0.3482075178410449
Pure_AM,T,R,73,0.32769216252524624,0.32800788484050425,0.32823836213064267,0.42196531791907516,0.2808219178082192,0.21275451924777009,0.0680673985604491,0.32769216252524624
Pure_AM,L,M,73,-0.3355662049046184,-0.30283781008553606,-0.278946081867606,0.42196531791907516,-0.2252663622526636,-0.19586809523937276,-0.029398267013290846,-0.3355662049046184
