Cryptomeria japonica
Pinus densiflora
Sequoia sempervirens
Pinus ponderosa
Tsuga canadensis
Arnica montana
Polygonum aviculare
Bromus catharticus
Artemisia campestris
Quercus cerris
Pulmonaria officinalis
Helianthus tuberosus
Veronica filiformis
Lepidium ruderale
Gymnadenia conopsea
Laserpitium latifolium
Asarum europaeum
Potentilla aurea
Persicaria amphibia
Seseli montanum
Carex pilulifera
Pistacia lentiscus
Ratibida pinnata
