label,mean,median,max,pass_>=0.6
DryPoorSun,0.002629119850187266,0.0,0.3099,0
PartialSunAverage,0.03573693820224719,0.014925,0.2939,0
ShadeWetAcidic,7.139513108614232e-05,0.0,0.00415,0
SunnyNeutral,0.05084808052434457,0.012875000000000001,0.47485,0
WarmNeutralFertile,0.0060101591760299625,5e-05,0.21345,0
