label,mean,median,max,pass_>=0.6
DryPoorSun,0.00019782608695652175,0.0,0.00255,0
PartialSunAverage,0.03913695652173913,0.01085,0.25155,0
ShadeWetAcidic,1.9565217391304346e-05,0.0,0.00025,0
SunnyNeutral,0.04015652173913043,0.016,0.1757,0
WarmNeutralFertile,0.028791304347826088,0.0001,0.1565,0
