label,mean,median,max,pass_>=0.6
CoolClimateSpecialist,0.03810955056179775,0.0105,0.2989,0
LushShadePlant,0.012662640449438201,0.003225,0.12145,0
RichSoilSpecialist,0.2184244382022472,0.14675,0.82595,74
SunVsWaterTradeoff,0.009763904494382022,0.0001,0.47965,0
ThePioneer,0.0013804775280898878,0.0,0.1819,0
