trait,rmse_mean,rmse_median,rmse_sd,folds,nrounds,eta
leaf_area_mm2,1.8851655608835725,2.043926192964964,0.3134414204610612,3,1000,0.1
seed_mass_mg,2.128260497294833,1.949010144895275,0.3607220706289163,3,1000,0.1
