cluster,n_features,total_Gain,mean_Gain
TRY Categorical,31,0.773122867568256,0.0249394473409115
Environmental,136,0.148052007031019,0.0010886176987575
Other,10,0.0831874236832386,0.00831874236832386
Phylogenetic,4,9.99202183262798e-05,2.498005458157e-05
