trait,n_compared,mean_abs_diff,median_abs_diff,max_abs_diff,mean_pct_diff,median_pct_diff,max_pct_diff,correlation,p_value
logLA,11682,0.2027293309667352,0.0452403565668158,4.074785117850474,3.617996162607386,0.7758363614268499,112.63767606647805,0.9775932192862357,0.0
logNmass,11682,0.04672708950329709,0.02282287314861242,0.9091758498580658,1.5821724786642481,0.7696408707188236,50.507947635333466,0.9791856523951622,0.0
logLDMC,11682,0.06618985784486342,0.03988111599005584,1.5451512678782586,4.50995700629537,2.7181324870576766,104.37593224541237,0.9698512166661053,0.0
logSLA,11682,0.05633301853689906,0.008105200495480469,1.419931154999719,2.2328614446108106,0.3094356068522254,51.380844075764664,0.984954510245169,0.0
logH,11682,0.05801267815676196,0.0,2.3077650522309763,8.833473843016987,0.0,7126.606789195613,0.9957061513743619,0.0
logSM,11682,0.19158787734465668,0.0,12.151344980976102,102.44476041916042,0.0,108212.13394381608,0.9813951505252989,0.0
