trait,observed_min,observed_max,imputed_min,imputed_max,n_gap_filled,n_below_min,n_above_max,n_extrapolation,pct_extrapolation
logLA,-0.2231435513142097,14.843789791786476,-0.014514138566967,10.945258187431238,6448,0,0,0,0.0
logNmass,1.1999466375830483,4.746731964172374,1.536837856903265,4.008083981031615,7595,0,0,0,0.0
logLDMC,-5.462530508352998,0.1484200051182732,-3.393653379111877,-0.350692914841414,8804,0,0,0,0.0
logSLA,-0.4105189824108432,5.318520073865556,0.2844880719688692,4.469748644706717,6156,0,0,0,0.0
logH,-7.877368507130524,7.537281999018428,-5.027062109645452,3.714559737589808,2671,0,0,0,0.0
logSM,-12.17651384328863,13.130309375974395,-11.29430742835474,11.333442916977576,3984,0,0,0,0.0
